1位,,匿名戦隊☆ﾔｻｸﾞﾚﾝｼﾞｬｰ,はみみん,9666280
2位,,△おむすびコロリン△,お嫁においでよ〆,9661620
3位,,♪MA・TTA・RI♪,ポレポレ,9657630
4位,,スターワールド,ペったー,9656050
5位,,Gravity,Astronomer,9510840
6位,,†翼†,AGIRU,0
7位,,∋天心爛漫∈,ﾀﾞｽﾄﾎﾞｯｸｽ,0
8位,,ωﾆﾔﾘっくすω,Rosenritter2,0
9位,,Sanctus,Parca_Luna,0
10位,,おもひでぽろぽろ,NirvanaP,0
11位,,天聖界,毒おじや,0
12位,,∬_Rosenkreuzer_∬,Mr_ポポ,0
13位,,－ANTHEM－,IRONHIDE．,0
14位,,жTear†Memoryж,ＬＡ：ＮＡ,0
15位,,ファーストKiss☆物語,風間剛,0
16位,,さくら茶屋～sakura～,↑魔法の筒↓,0
17位,,～奇跡の価値は～,小袖_K,0
18位,,Mission：BigmanXD,ビッグマシーン,0
19位,,リーリエ,Mｉnelva,0
20位,,Campanula,クレリューフ,0
21位,,Invisible,ぽようぃず,0
22位,,Solidarity,ｎational,0
23位,,NEO無課金同盟,ヤシャマルJr,0
24位,,最弱軍団,叢雲のジュウザ,0
25位,,☆天下無双☆,Ψmo☆moΨ,0
26位,,Ⅹ_ⅹ_飛旋_ⅹ_Ⅹ,光撃者まもちゃん,0
27位,,†竜獄香†,モルディブ。,0
1位,,わくてか★2nd,神龍GOD,9666830
2位,,天宙の星々,スーさん,707776
3位,,理ウ人勝,りつ姉,432320
4位,,島ぐらし,天使長,401520
5位,,†Dark_Heaven†,ΩぽぽろΩ,0
6位,,特攻野郎Ａチーム,HYPER・X2air,0
7位,,ж黒の騎士団ж,佐久夜,0
8位,,†亀の団†,メキラ,0
9位,,☆ef☆,‡彼岸花‡,0
10位,,‘Ｃｌｏｖｅｒ’,＊アルチッパー＊,0
11位,,いざわ倶楽部,ナポリ,0
12位,,紅孔雀,すなっぷおん☆,0
13位,,Ｐｉａｃｅｒｅ,エピメテウス,0
14位,,ラウンドナイツ,ラインの乙女,0
15位,,ＢＬＡＣＫ　ＷＩＤＯＷ,せなた☆ミ,0
16位,,炎団〈R〉,何松氏,0
17位,,さくらんぼ,しょこ,0
18位,,†蒼穹に滲む雨†,ﾒﾙｻﾞｳﾞｨｱ,0
19位,,さわやか銀行,陸遜,0
20位,,Third　Force,boar,0
21位,,TKSファクトリー,バリュースター,0
22位,,Certaldo,肥後随喜,0
23位,,戦軍『雷光』,SerasVictoria☆,0
24位,,ローラースター,グランバレー,0
25位,,ψ武装戦線ψ,ＡＮＡＧＵＲＡ,0
26位,,泡沫,無理ですヨ。,0
27位,,兎と狼の円舞曲,ジェフの廃番,0
28位,,♪～ホイホイ倶楽部～♪,かけらはどこだ？,0
29位,,施設Ｇ,宮本さん♪,0
30位,,～風の赴くままに～,ФjunФ,0
