,ギルド名,ギルドマスター,ギルドレベル,GHレベル
1,ラオス共和国,根津甚八β,200,5
2,†BlueMoon†,ψXENOψ,200,4
3,HeiligerRitter,矛盾なマヌケ,200,4
4,☆安心できる憩いの場☆,御一人様チリソー,200,4
5,紫龍会,xアゲハx,200,3
6,Spirit　of　Fire,豹弦,200,3
7,パンプキン・ハーツ,ﾌｪﾘｱ,200,3
8,†BlackAngels†,犬神家の一族（橙,200,3
9,ピアノの森,晴和,200,3
10,北海道ギルド【なまら】,田吾作♪,200,3
11,～Sweet☆Magic～,紳士トマト,200,3
12,☆さまなーず☆,くるるΣ,200,3
13,旅の途中,戎瓔花,200,3
14,Legend_Hearts,ありす☆,200,2
15,エターナルフリーダム,とかいっぺ大将,200,2
16,ひよこ戦隊赤レンジャー,紫咲シオン,200,2
17,鋼鉄のＳＮＯＯＰＹ,Secret_Online,200,2
18,高原組,シルフィードJr,200,2
19,†天空の時計塔†,Love_again,200,2
20,ぬ゛,マサマサs,200,2
21,新興宗教ガミガミ教,たいきしゃとる2,200,2
22,乱舞蝶,ﾋﾟｽﾃｨ･ｱﾚｯﾄﾞ,200,2
23,☆ラスプーチン☆,ElleyRe,200,2
24,いちご,ルミフィ,200,2
25,【BlueBox】,☆TON80☆,200,2
26,よろずや♪,ピッピ☆,200,2
27,プリンセス,苑十那,200,2
28,うさみふぁみりぃ,☆ロッキー２☆,200,2
29,ロンド＝ベル,レヴィア。,200,2
30,♪PartyPeople♪,HGRY,200,2
31,夜桜会,アムドゥスキアス,200,2
32,２８組,ちゃらめる,200,2
33,GandS,香薫,200,2
34,彩なき風の子守唄,風水牙,200,2
35,パニックルームMk－Ⅱ,致命的損失,200,2
36,一華咲,ハイドシークス,200,2
37,ちぇりーぶろっさみゅ,ヒメリのみ,200,2
38,noche,＊鬼鮫＊,200,2
39,＇unmoral＇,ASUS_B550,200,2
40,がんぼ民,がんぼω,200,2
