,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1880,5
2,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1865,5
3,-,,ﾏｰｺﾞｯﾄ,1864,5
4,-,,五十嵐由貴,1861,5
5,-,,武神゜,1846,5
6,-,,らぶのーと♪,1846,5
7,-,,きゃぴ☆,1845,5
8,-,,八番手,1843,5
9,-,,∬purposefire∬,1842,5
10,-,,つよみん,1839,5
11,-,,syouitirou,1836,5
12,-,,AllRangeClear☆,1835,5
13,-,,だるま親方♪,1835,5
14,-,,嶋野の狂犬,1834,5
15,-,,neon43,1833,5
16,-,,レミニセンス,1830,5
17,-,,ゆめごん,1829,5
18,-,,岡島タエ子,1828,5
19,-,,WildCandy♪,1825,5
20,-,,∬Veloce∬,1825,5
21,-,,ShineLight,1823,5
22,-,,amagon,1823,5
23,-,,Mｉnelva,1820,5
24,-,,高天原ゆとり,1819,5
25,-,,pikashu,1818,5
26,-,,平岡智世,1817,5
27,-,,Lionel・MessiⅡ,1816,5
28,-,,れっどしーふ,1814,5
29,-,,δsnowδ,1812,5
30,-,,クレモル,1811,5
31,-,,bsk団,1810,5
32,-,,millay,1810,5
33,-,,gingingin,1809,5
34,-,,腰痛の爺,1809,5
35,-,,魔女の使いジジ,1808,5
36,-,,☆セントレア☆,1807,5
37,-,,Woｌｌim,1806,5
38,-,,Mysh,1806,5
39,-,,ブレイブスカイ,1805,5
40,-,,ビッグマシーン,1804,5
41,-,,ぽこっさん,1804,5
42,-,,お試しください♪,1804,5
43,-,,砂の果実,1803,5
44,-,,おばさんULT,1803,5
45,-,,Daifuku,1802,5
46,-,,AiryKuroe,1802,5
47,-,,星にねがいを,1801,5
48,-,,ににお,1801,5
49,-,,HIMAMA,1801,5
50,-,,トリクシー,1801,5
