,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1844,5
2,-,,ﾏｰｺﾞｯﾄ,1837,5
3,-,,八番手,1836,5
4,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1835,5
5,-,,五十嵐由貴,1834,5
6,-,,つよみん,1828,5
7,-,,∬purposefire∬,1826,5
8,-,,武神゜,1826,5
9,-,,neon43,1826,5
10,-,,らぶのーと♪,1825,5
11,-,,だるま親方♪,1825,5
12,-,,amagon,1818,5
13,-,,高天原ゆとり,1816,5
14,-,,きゃぴ☆,1813,5
15,-,,岡島タエ子,1813,5
16,-,,pikashu,1810,5
17,-,,クレモル,1809,5
18,-,,δsnowδ,1809,5
19,-,,syouitirou,1808,5
20,-,,腰痛の爺,1808,5
21,-,,Woｌｌim,1805,5
22,-,,Lionel・MessiⅡ,1804,5
23,-,,Mｉnelva,1804,5
24,-,,∬Veloce∬,1803,5
25,-,,ブレイブスカイ,1802,5
26,-,,WildCandy♪,1802,5
27,-,,砂の果実,1802,5
28,-,,ゆめごん,1802,5
29,-,,Mysh,1802,5
30,-,,AllRangeClear☆,1801,5
31,-,,bsk団,1801,5
32,-,,♪レナ♪,1800,5
33,-,,∬vergeofdeath∬,1800,5
34,-,,平岡智世,1800,5
35,-,,星にねがいを,1800,5
36,-,,トリクシー,1800,5
37,-,,おばさんULT,1798,5
38,-,,HIMAMA,1794,5
39,-,,millay,1794,5
40,-,,れっどしーふ,1790,5
41,-,,レミニセンス,1790,5
42,-,,ビッグマシーン,1786,5
43,-,,戦慄のおっさん,1786,5
44,-,,bitaminn,1781,5
45,-,,dokuringo,1781,5
46,-,,魔女の使いジジ,1781,5
47,-,,コールドプレイ,1780,5
48,-,,gingingin,1778,5
49,-,,醤油取って,1778,5
50,-,,Ｌーライトニング,1770,5
