,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1830,5
2,-,,ﾏｰｺﾞｯﾄ,1823,5
3,-,,五十嵐由貴,1820,5
4,-,,つよみん,1819,5
5,-,,∬purposefire∬,1816,5
6,-,,武神゜,1816,5
7,-,,八番手,1816,5
8,-,,らぶのーと♪,1810,5
9,-,,neon43,1810,5
10,-,,だるま親方♪,1803,5
11,-,,Mysh,1802,5
12,-,,ブレイブスカイ,1800,5
13,-,,砂の果実,1800,5
14,-,,腰痛の爺,1800,5
15,-,,pikashu,1796,5
16,-,,amagon,1796,5
17,-,,ゆめごん,1794,5
18,-,,δsnowδ,1794,5
19,-,,HIMAMA,1794,5
20,-,,Lionel・MessiⅡ,1791,5
21,-,,高天原ゆとり,1790,5
22,-,,syouitirou,1788,5
23,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1786,5
24,-,,トリクシー,1779,5
25,-,,きゃぴ☆,1778,5
26,-,,戦慄のおっさん,1776,5
27,-,,平岡智世,1775,5
28,-,,AllRangeClear☆,1769,5
29,-,,∬Veloce∬,1769,5
30,-,,bsk団,1769,5
31,-,,筋肉もり男,1766,5
32,-,,醤油取って,1765,5
33,-,,♪レナ♪,1763,5
34,-,,Mｉnelva,1763,5
35,-,,クレモル,1760,5
36,-,,bitaminn,1758,5
37,-,,れっどしーふ,1758,5
38,-,,コールドプレイ,1755,5
39,-,,gingingin,1754,5
40,-,,nero＋α,1754,5
41,-,,魔女の使いジジ,1754,5
42,-,,☆セントレア☆,1753,5
43,-,,DarkGradation,1751,5
44,-,,dokuringo,1750,5
45,-,,おばさんULT,1750,5
46,-,,Lightperformer,1743,5
47,-,,錨輝く鮎,1743,5
48,-,,星にねがいを,1740,5
49,-,,小作人,1740,5
50,-,,リンチェンコ,1739,5
