,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1835,5
2,-,,ﾏｰｺﾞｯﾄ,1827,5
3,-,,五十嵐由貴,1825,5
4,-,,∬purposefire∬,1823,5
5,-,,つよみん,1822,5
6,-,,八番手,1822,5
7,-,,武神゜,1819,5
8,-,,neon43,1817,5
9,-,,らぶのーと♪,1814,5
10,-,,だるま親方♪,1810,5
11,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1810,5
12,-,,腰痛の爺,1805,5
13,-,,高天原ゆとり,1804,5
14,-,,Mysh,1802,5
15,-,,ブレイブスカイ,1801,5
16,-,,ゆめごん,1801,5
17,-,,pikashu,1801,5
18,-,,amagon,1801,5
19,-,,δsnowδ,1801,5
20,-,,砂の果実,1800,5
21,-,,Lionel・MessiⅡ,1797,5
22,-,,HIMAMA,1794,5
23,-,,syouitirou,1792,5
24,-,,平岡智世,1788,5
25,-,,∬Veloce∬,1788,5
26,-,,トリクシー,1788,5
27,-,,bsk団,1782,5
28,-,,きゃぴ☆,1781,5
29,-,,戦慄のおっさん,1781,5
30,-,,AllRangeClear☆,1775,5
31,-,,Mｉnelva,1775,5
32,-,,醤油取って,1774,5
33,-,,クレモル,1769,5
34,-,,星にねがいを,1766,5
35,-,,筋肉もり男,1766,5
36,-,,れっどしーふ,1765,5
37,-,,♪レナ♪,1764,5
38,-,,おばさんULT,1763,5
39,-,,bitaminn,1762,5
40,-,,コールドプレイ,1760,5
41,-,,ビッグマシーン,1755,5
42,-,,魔女の使いジジ,1755,5
43,-,,gingingin,1754,5
44,-,,☆セントレア☆,1754,5
45,-,,nero＋α,1754,5
46,-,,DarkGradation,1751,5
47,-,,dokuringo,1750,5
48,-,,WildCandy♪,1750,5
49,-,,凛沖,1749,5
50,-,,リンチェンコ,1744,5
