,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,2034,5
2,-,,ﾏｰｺﾞｯﾄ,2033,5
3,-,,つよみん,2027,5
4,-,,武神゜,2022,5
5,-,,お試しください♪,2020,5
6,-,,ブレイブスカイ,2017,5
7,-,,amagon,2010,5
8,-,,neon43,2010,5
9,-,,れっどしーふ,2009,5
10,-,,魔女の使いジジ,2007,5
11,-,,dokuringo,2003,5
12,-,,おもぐり,2003,5
13,-,,啓士郎,2002,5
14,-,,gingingin,2002,5
15,-,,syouitirou,2001,5
16,-,,２２３２,2001,5
17,-,,平岡智世,2001,5
18,-,,きゃぴ☆,2001,5
19,-,,嶋野の狂犬,2001,5
20,-,,戦慄のおっさん,2001,5
21,-,,pikashu,2001,5
22,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2001,5
23,-,,ちむどんどん助,2001,5
24,-,,コールドプレイ,2000,5
25,-,,∬purposefire∬,2000,5
26,-,,ビッグマ万太郎,2000,5
27,-,,AllRangeClear☆,2000,5
28,-,,Stardust_reverie,2000,5
29,-,,WildCandy♪,2000,5
30,-,,Mｉnelva,2000,5
31,-,,ゆめごん,2000,5
32,-,,お嫁においでよ〆,2000,5
33,-,,＄デビル＄,2000,5
34,-,,Mｙｓｔic,2000,5
35,-,,☆セントレア☆,2000,5
36,-,,五十嵐由貴,2000,5
37,-,,ぽこっさん,2000,5
38,-,,ShineLight,2000,5
39,-,,†金獅子姫†,2000,5
40,-,,ティダ射手,2000,5
41,-,,らぶのーと♪,2000,5
42,-,,Daifuku,2000,5
43,-,,醤油取って,2000,5
44,-,,bsk団,2000,5
45,-,,レミニセンス,2000,5
46,-,,ゆきゅ,2000,5
47,-,,らんさー・ｗ・,2000,5
48,-,,パリバリ,2000,5
49,-,,Woｌｌim,2000,5
50,-,,どんの助,2000,5
