,-,職業,キャラクター,レベル,転生回数
1,-,,ﾏｰｺﾞｯﾄ,2048,5
2,-,,ミルリ,2047,5
3,-,,つよみん,2034,5
4,-,,お試しください♪,2033,5
5,-,,ブレイブスカイ,2032,5
6,-,,じゃむおじき,2032,5
7,-,,れっどしーふ,2031,5
8,-,,武神゜,2031,5
9,-,,魔女の使いジジ,2031,5
10,-,,戦慄のおっさん,2030,5
11,-,,２２３２,2013,5
12,-,,ひろ１００１,2013,5
13,-,,アリアリＱ,2011,5
14,-,,amagon,2010,5
15,-,,neon43,2010,5
16,-,,AiryKuroe,2009,5
17,-,,gingingin,2007,5
18,-,,啓士郎,2006,5
19,-,,おもぐり,2006,5
20,-,,お嫁においでよ〆,2005,5
21,-,,dokuringo,2004,5
22,-,,コールドプレイ,2003,5
23,-,,∬保湿ペーパー∬,2003,5
24,-,,どんの助,2003,5
25,-,,浅研,2002,5
26,-,,ちむどんどん助,2002,5
27,-,,syouitirou,2001,5
28,-,,平岡智世,2001,5
29,-,,きゃぴ☆,2001,5
30,-,,嶋野の狂犬,2001,5
31,-,,みぅ＊,2001,5
32,-,,pikashu,2001,5
33,-,,星のつよみん,2001,5
34,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2001,5
35,-,,迷える妖精,2001,5
36,-,,みがわり移動砲台,2001,5
37,-,,∬purposefire∬,2000,5
38,-,,まーち。,2000,5
39,-,,Norleras,2000,5
40,-,,おかまこ,2000,5
41,-,,ｼﾞｬｽﾊﾟｰ,2000,5
42,-,,ビッグマ万太郎,2000,5
43,-,,AllRangeClear☆,2000,5
44,-,,Stardust_reverie,2000,5
45,-,,Lionel・MessiⅡ,2000,5
46,-,,＄reef＄,2000,5
47,-,,プラチナデータ,2000,5
48,-,,ゆめごん,2000,5
49,-,,ぽこっさん,2000,5
50,-,,PersephoneP,2000,5
