,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1991,5
2,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1954,5
3,-,,八番手,1945,5
4,-,,∬purposefire∬,1934,5
5,-,,武神゜,1931,5
6,-,,ﾏｰｺﾞｯﾄ,1931,5
7,-,,syouitirou,1930,5
8,-,,五十嵐由貴,1928,5
9,-,,嶋野の狂犬,1923,5
10,-,,らぶのーと♪,1921,5
11,-,,らんさー・ｗ・,1917,5
12,-,,だるま親方♪,1914,5
13,-,,WildCandy♪,1904,5
14,-,,つよみん,1902,5
15,-,,ゆめごん,1892,5
16,-,,AllRangeClear☆,1891,5
17,-,,amagon,1890,5
18,-,,きゃぴ☆,1888,5
19,-,,∬Veloce∬,1885,5
20,-,,平岡智世,1878,5
21,-,,ににお,1876,5
22,-,,pikashu,1873,5
23,-,,Mｉnelva,1862,5
24,-,,millay,1857,5
25,-,,bitaminn,1851,5
26,-,,ShineLight,1850,5
27,-,,gingingin,1842,5
28,-,,れっどしーふ,1840,5
29,-,,Lionel・MessiⅡ,1838,5
30,-,,魔女の使いジジ,1838,5
31,-,,AiryKuroe,1836,5
32,-,,HIMAMA,1834,5
33,-,,neon43,1833,5
34,-,,Daifuku,1832,5
35,-,,クレモル,1831,5
36,-,,ぽこっさん,1830,5
37,-,,レミニセンス,1830,5
38,-,,岡島タエ子,1828,5
39,-,,啓士郎,1825,5
40,-,,bsk団,1825,5
41,-,,星にねがいを,1823,5
42,-,,☆セントレア☆,1820,5
43,-,,δsnowδ,1820,5
44,-,,高天原ゆとり,1819,5
45,-,,醤油取って,1818,5
46,-,,２２３２,1816,5
47,-,,ビッグマシーン,1812,5
48,-,,腰痛の爺,1809,5
49,-,,†金獅子姫†,1807,5
50,-,,Woｌｌim,1806,5
