,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1963,5
2,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1927,5
3,-,,八番手,1924,5
4,-,,ﾏｰｺﾞｯﾄ,1916,5
5,-,,五十嵐由貴,1914,5
6,-,,∬purposefire∬,1913,5
7,-,,嶋野の狂犬,1902,5
8,-,,武神゜,1902,5
9,-,,syouitirou,1897,5
10,-,,らぶのーと♪,1891,5
11,-,,だるま親方♪,1888,5
12,-,,WildCandy♪,1880,5
13,-,,きゃぴ☆,1875,5
14,-,,つよみん,1873,5
15,-,,AllRangeClear☆,1872,5
16,-,,ゆめごん,1872,5
17,-,,amagon,1867,5
18,-,,∬Veloce∬,1865,5
19,-,,平岡智世,1861,5
20,-,,ににお,1858,5
21,-,,pikashu,1856,5
22,-,,らんさー・ｗ・,1851,5
23,-,,Mｉnelva,1848,5
24,-,,millay,1842,5
25,-,,ShineLight,1841,5
26,-,,れっどしーふ,1835,5
27,-,,bitaminn,1834,5
28,-,,HIMAMA,1834,5
29,-,,neon43,1833,5
30,-,,Lionel・MessiⅡ,1832,5
31,-,,gingingin,1832,5
32,-,,レミニセンス,1830,5
33,-,,魔女の使いジジ,1830,5
34,-,,岡島タエ子,1828,5
35,-,,AiryKuroe,1827,5
36,-,,クレモル,1825,5
37,-,,Daifuku,1823,5
38,-,,bsk団,1819,5
39,-,,高天原ゆとり,1819,5
40,-,,δsnowδ,1819,5
41,-,,ぽこっさん,1818,5
42,-,,啓士郎,1815,5
43,-,,ビッグマシーン,1812,5
44,-,,☆セントレア☆,1812,5
45,-,,腰痛の爺,1809,5
46,-,,醤油取って,1808,5
47,-,,Woｌｌim,1806,5
48,-,,Mysh,1806,5
49,-,,ブレイブスカイ,1805,5
50,-,,お試しください♪,1804,5
