,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,2000,5
2,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1982,5
3,-,,八番手,1974,5
4,-,,∬purposefire∬,1969,5
5,-,,syouitirou,1962,5
6,-,,武神゜,1958,5
7,-,,らぶのーと♪,1948,5
8,-,,らんさー・ｗ・,1943,5
9,-,,ﾏｰｺﾞｯﾄ,1942,5
10,-,,五十嵐由貴,1941,5
11,-,,つよみん,1940,5
12,-,,嶋野の狂犬,1934,5
13,-,,だるま親方♪,1926,5
14,-,,WildCandy♪,1912,5
15,-,,ゆめごん,1908,5
16,-,,AllRangeClear☆,1905,5
17,-,,amagon,1904,5
18,-,,平岡智世,1897,5
19,-,,∬Veloce∬,1893,5
20,-,,pikashu,1893,5
21,-,,きゃぴ☆,1888,5
22,-,,ににお,1884,5
23,-,,Mｉnelva,1877,5
24,-,,ShineLight,1870,5
25,-,,millay,1869,5
26,-,,bitaminn,1863,5
27,-,,gingingin,1853,5
28,-,,れっどしーふ,1850,5
29,-,,AiryKuroe,1847,5
30,-,,Daifuku,1842,5
31,-,,魔女の使いジジ,1842,5
32,-,,ぽこっさん,1840,5
33,-,,Lionel・MessiⅡ,1838,5
34,-,,クレモル,1836,5
35,-,,HIMAMA,1834,5
36,-,,neon43,1833,5
37,-,,レミニセンス,1830,5
38,-,,☆セントレア☆,1829,5
39,-,,岡島タエ子,1828,5
40,-,,bsk団,1827,5
41,-,,ビッグマ万太郎,1826,5
42,-,,星にねがいを,1826,5
43,-,,啓士郎,1825,5
44,-,,Faluna,1825,5
45,-,,高天原ゆとり,1825,5
46,-,,δsnowδ,1820,5
47,-,,醤油取って,1818,5
48,-,,赤エンピツ,1818,5
49,-,,２２３２,1816,5
50,-,,ビッグマシーン,1813,5
