,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,2029,5
2,-,,つよみん,2026,5
3,-,,ﾏｰｺﾞｯﾄ,2025,5
4,-,,武神゜,2014,5
5,-,,ブレイブスカイ,2011,5
6,-,,amagon,2010,5
7,-,,neon43,2010,5
8,-,,お試しください♪,2008,5
9,-,,れっどしーふ,2004,5
10,-,,魔女の使いジジ,2003,5
11,-,,平岡智世,2001,5
12,-,,きゃぴ☆,2001,5
13,-,,嶋野の狂犬,2001,5
14,-,,pikashu,2001,5
15,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2001,5
16,-,,syouitirou,2000,5
17,-,,啓士郎,2000,5
18,-,,コールドプレイ,2000,5
19,-,,∬purposefire∬,2000,5
20,-,,ビッグマ万太郎,2000,5
21,-,,AllRangeClear☆,2000,5
22,-,,dokuringo,2000,5
23,-,,WildCandy♪,2000,5
24,-,,Mｙｓｔic,2000,5
25,-,,Mｉnelva,2000,5
26,-,,☆セントレア☆,2000,5
27,-,,五十嵐由貴,2000,5
28,-,,ゆめごん,2000,5
29,-,,ぽこっさん,2000,5
30,-,,ShineLight,2000,5
31,-,,らぶのーと♪,2000,5
32,-,,醤油取って,2000,5
33,-,,レミニセンス,2000,5
34,-,,ゆきゅ,2000,5
35,-,,らんさー・ｗ・,2000,5
36,-,,どんの助,2000,5
37,-,,八番手,2000,5
38,-,,だるま親方♪,2000,5
39,-,,高天原ゆとり,2000,5
40,-,,δsnowδ,2000,5
41,-,,リンチェンコ,2000,5
42,-,,グランエース,2000,5
43,-,,ちむどんどん助,2000,5
44,-,,AiryKuroe,2000,5
45,-,,おもぐり,2000,5
46,-,,ティダ射手,1998,5
47,-,,のえるたいむず,1997,5
48,-,,戦慄のおっさん,1995,5
49,-,,gingingin,1991,5
50,-,,お前もう船降りろ,1986,5
