,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,1830,5
2,-,,ﾏｰｺﾞｯﾄ,1823,5
3,-,,五十嵐由貴,1820,5
4,-,,つよみん,1819,5
5,-,,∬purposefire∬,1816,5
6,-,,武神゜,1816,5
7,-,,八番手,1815,5
8,-,,neon43,1810,5
9,-,,らぶのーと♪,1809,5
10,-,,だるま親方♪,1803,5
11,-,,Mysh,1802,5
12,-,,ブレイブスカイ,1800,5
13,-,,砂の果実,1800,5
14,-,,腰痛の爺,1800,5
15,-,,amagon,1796,5
16,-,,pikashu,1795,5
17,-,,δsnowδ,1794,5
18,-,,HIMAMA,1794,5
19,-,,ゆめごん,1793,5
20,-,,Lionel・MessiⅡ,1791,5
21,-,,高天原ゆとり,1790,5
22,-,,syouitirou,1788,5
23,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1783,5
24,-,,きゃぴ☆,1777,5
25,-,,戦慄のおっさん,1776,5
26,-,,トリクシー,1776,5
27,-,,平岡智世,1775,5
28,-,,∬Veloce∬,1768,5
29,-,,bsk団,1768,5
30,-,,AllRangeClear☆,1767,5
31,-,,醤油取って,1765,5
32,-,,筋肉もり男,1765,5
33,-,,♪レナ♪,1763,5
34,-,,Mｉnelva,1762,5
35,-,,クレモル,1759,5
36,-,,れっどしーふ,1758,5
37,-,,bitaminn,1757,5
38,-,,コールドプレイ,1754,5
39,-,,gingingin,1754,5
40,-,,nero＋α,1754,5
41,-,,魔女の使いジジ,1754,5
42,-,,☆セントレア☆,1753,5
43,-,,DarkGradation,1751,5
44,-,,dokuringo,1749,5
45,-,,おばさんULT,1748,5
46,-,,Lightperformer,1743,5
47,-,,錨輝く鮎,1743,5
48,-,,小作人,1739,5
49,-,,ＬＡ：ＮＡ,1738,5
50,-,,星にねがいを,1737,5
