,-,職業,キャラクター,レベル,転生回数
1,-,,syouitirou,2000,5
2,-,,∬purposefire∬,2000,5
3,-,,ミルリ,2000,5
4,-,,嶋野の狂犬,2000,5
5,-,,武神゜,2000,5
6,-,,五十嵐由貴,2000,5
7,-,,らぶのーと♪,2000,5
8,-,,らんさー・ｗ・,2000,5
9,-,,八番手,2000,5
10,-,,だるま親方♪,2000,5
11,-,,pikashu,2000,5
12,-,,ﾏｰｺﾞｯﾄ,2000,5
13,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2000,5
14,-,,つよみん,1994,5
15,-,,WildCandy♪,1985,5
16,-,,amagon,1977,5
17,-,,ShineLight,1971,5
18,-,,neon43,1952,5
19,-,,ゆめごん,1951,5
20,-,,AllRangeClear☆,1948,5
21,-,,高天原ゆとり,1948,5
22,-,,平岡智世,1947,5
23,-,,ににお,1943,5
24,-,,☆セントレア☆,1936,5
25,-,,ビッグマ万太郎,1930,5
26,-,,ぽこっさん,1930,5
27,-,,Mｉnelva,1925,5
28,-,,きゃぴ☆,1923,5
29,-,,∬Veloce∬,1923,5
30,-,,醤油取って,1919,5
31,-,,gingingin,1917,5
32,-,,れっどしーふ,1907,5
33,-,,AiryKuroe,1906,5
34,-,,クレモル,1901,5
35,-,,ティダ射手,1893,5
36,-,,真衣ちゃん,1891,5
37,-,,啓士郎,1887,5
38,-,,ブレイブスカイ,1884,5
39,-,,魔女の使いジジ,1880,5
40,-,,Daifuku,1877,5
41,-,,２２３２,1876,5
42,-,,どんの助,1876,5
43,-,,bitaminn,1874,5
44,-,,bsk団,1872,5
45,-,,Faluna,1863,5
46,-,,コールドプレイ,1860,5
47,-,,＄デビル＄,1860,5
48,-,,ゆきゅ,1860,5
49,-,,レミニセンス,1853,5
50,-,,運命を呪う死神,1852,5
