,-,職業,キャラクター,レベル,転生回数
1,-,,ミルリ,2052,5
2,-,,ﾏｰｺﾞｯﾄ,2051,5
3,-,,つよみん,2038,5
4,-,,ブレイブスカイ,2034,5
5,-,,お試しください♪,2033,5
6,-,,じゃむおじき,2032,5
7,-,,武神゜,2031,5
8,-,,れっどしーふ,2031,5
9,-,,魔女の使いジジ,2031,5
10,-,,戦慄のおっさん,2030,5
11,-,,ひろ１００１,2019,5
12,-,,２２３２,2016,5
13,-,,アリアリＱ,2012,5
14,-,,AiryKuroe,2011,5
15,-,,おもぐり,2011,5
16,-,,amagon,2010,5
17,-,,neon43,2010,5
18,-,,啓士郎,2008,5
19,-,,gingingin,2008,5
20,-,,どんの助,2008,5
21,-,,お嫁においでよ〆,2006,5
22,-,,浅研,2005,5
23,-,,まーち。,2004,5
24,-,,dokuringo,2004,5
25,-,,コールドプレイ,2003,5
26,-,,∬保湿ペーパー∬,2003,5
27,-,,ちむどんどん助,2002,5
28,-,,マニカ６センス,2002,5
29,-,,syouitirou,2001,5
30,-,,平岡智世,2001,5
31,-,,きゃぴ☆,2001,5
32,-,,嶋野の狂犬,2001,5
33,-,,みぅ＊,2001,5
34,-,,ミトゥナ,2001,5
35,-,,†金獅子姫†,2001,5
36,-,,T’ORIS,2001,5
37,-,,星のつよみん,2001,5
38,-,,pikashu,2001,5
39,-,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2001,5
40,-,,迷える妖精,2001,5
41,-,,空と君との間に,2001,5
42,-,,みがわり移動砲台,2001,5
43,-,,ハスラー３,2000,5
44,-,,∬purposefire∬,2000,5
45,-,,Norleras,2000,5
46,-,,おかまこ,2000,5
47,-,,毒おじや,2000,5
48,-,,ｼﾞｬｽﾊﾟｰ,2000,5
49,-,,ビッグマ万太郎,2000,5
50,-,,AllRangeClear☆,2000,5
