,職業,キャラクター,レベル,ポイント
1,,krisu,1815,13494
2,,Tengallon,1556,10110
3,,キュウチャン,1194,7620
4,,ミツリン,1786,6414
5,,♪D－cyan♪,1440,6218
6,,ロザリナ☆,1698,5382
7,,jeil,980,5159
8,,mttt,1829,5054
9,,七色インコ,615,4860
10,,♪もも,1452,4346
11,,∴ジャヌψ,1318,4308
12,,槍まーりも,1462,4228
13,,takakazuma,981,4161
14,,あすみす,1283,4093
15,,たいやきあんこ,1846,3871
16,,ﾌｪﾘｯｸｽ,1270,3798
17,,レジェンド石橋,1839,3489
18,,不協和音♪,1345,3489
19,,りるどーぷ,1696,3402
20,,トト・レイニス,1597,3185
21,,夜刃神,1593,3018
22,,桃牙,1318,2836
23,,ﾌｪﾘｱ,1808,2832
24,,筋肉♂パイセン,1657,2793
25,,ちゃらめる,1772,2774
26,,ザンゾウ,924,2760
27,,ζhaluluζ,1823,2755
28,,ルベーグ2世,1803,2745
29,,Liliel,1736,2687
30,,セヴィ・ティセス,1436,2647
31,,ﾄﾛﾄﾛｵﾖﾖ,531,2561
32,,CherryShuffle,997,2516
33,,‐鏡月‐,1573,2499
34,,shogi,1791,2492
35,,二階堂パンパース,1830,2490
36,,＄ＨＩＤＥ＄,1784,2484
37,,アリス・ワンダー,1840,2460
38,,ｋａｚｕｋｕｎ剣,1743,2408
39,,§ＮＥＸＵＳ§,1024,2342
40,,しーふ君,888,2280
41,,アルス君,1800,2259
42,,サイバーナイト,1800,2259
43,,ψXENOψ,1843,2246
44,,∬ましゅまろ∬,1722,2243
45,,れもんψ,1832,2228
46,,超炒飯,1020,2201
47,,アバブ,1808,2195
48,,Inocent,1740,2195
49,,２式改,1617,2184
50,,天日槍,1327,2150
51,,てのひら,1574,2111
52,,misya☆,1257,2110
53,,弐華威堂,1739,2102
54,,小茉里,1115,2090
55,,【愛】チェルシー,1475,2072
56,,anderson,1298,2070
57,,陽奈♪,1711,2054
58,,むぎちゃ。,1783,2043
59,,思いやりGDX,1834,2024
60,,黄金卿の案内人,1011,2022
61,,虐殺ｵｰﾊﾞｰﾄﾞﾗｲﾌﾞ,1125,2017
62,,†LightSide†,1799,2016
63,,アリス☆☆,1320,2010
64,,RhymeDealer,1299,2010
65,,RockAce,1705,2001
66,,ﾄｰﾀﾙﾃﾝﾎﾞｽ,1717,1978
67,,夜廻まるか,1744,1976
68,,ｱﾆﾘｿ,1823,1949
69,,～マハルコ～，,1245,1909
70,,†盗掘者†,1001,1905
71,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1828,1898
72,,FalkeNaze,1708,1881
73,,ボイスブリザード,1600,1857
74,,ﾀｲｶﾞｰﾀﾅｶ,1277,1848
75,,元団長さん,1780,1817
76,,永遠の暗闇,1722,1815
77,,真夏の雨§,1800,1812
78,,ｍｅｒｙ,1461,1811
79,,ラクサスドレアン,1805,1808
80,,ひるの,1743,1808
81,,近代的なsouei,1615,1807
82,,しらすたっぷ。,1800,1777
83,,子供部屋おばさん,1736,1768
84,,otasam,1384,1764
85,,Jamii,1622,1763
86,,emg4159,1545,1755
87,,豹弦,1755,1749
88,,＠みゆ＠,1260,1747
89,,＊鬼鮫＊,1824,1719
90,,エルロン5,1738,1718
91,,元てつ,937,1684
92,,筋弛緩剤,1171,1679
93,,更級？,1098,1665
94,,ＣＯＯＬ－ＪＯＥ,1363,1660
95,,サクラサケ,1804,1659
96,,ずっさん,1802,1653
97,,べルカンプ,1732,1638
98,,やわら,1009,1627
99,,Wide01,1094,1622
100,,緋色＄,1764,1619
