,職業,キャラクター,レベル,ポイント
1,n9,krisu,2023,15773
2,n4,Tengallon,1827,12856
3,n18,GameMaster1,1,9057
4,n5,キュウチャン,1340,7709
5,n7,ミツリン,1980,7693
6,n7,♪D－cyan♪,1576,6366
7,n16,mttt,2032,5859
8,n8,ロザリナ☆,1698,5382
9,n8,jeil,1028,5251
10,n4,ψXENOψ,2009,4981
11,n9,Magic1an,2000,4958
12,n7,ザンゾウ,932,4891
13,n6,七色インコ,617,4860
14,n12,たいやきあんこ,2013,4589
15,n8,∴ジャヌψ,1411,4485
16,n9,余貴真優,2000,4460
17,n8,夜刃神,1904,4446
18,n3,ちゃらめる,2009,4383
19,n8,♪もも,1504,4347
20,n2,不協和音♪,1562,4279
21,n8,槍まーりも,1500,4253
22,n1,takakazuma,1027,4207
23,n9,レジェンド石橋,2000,4146
24,n7,あすみす,1283,4093
25,n9,ボイスブリザード,2001,3952
26,n9,りるどーぷ,2002,3870
27,n5,ﾌｪﾘｯｸｽ,1408,3869
28,n25,アリス・ワンダー,2004,3802
29,n8,azusachan,1981,3703
30,n20,Liliel,2000,3646
31,n19,6shou,2000,3617
32,n9,陽奈♪,2000,3606
33,n22,近代的なsouei,1932,3557
34,n19,ﾌｪﾘｱ,2012,3550
35,n19,骨ラーメン☆,2026,3459
36,n10,永遠の暗闇,2031,3457
37,n1,ルベーグ2世,2000,3382
38,n18,†フィル†,2000,3335
39,n1,セヴィ・ティセス,1626,3279
40,n20,∬ましゅまろ∬,1930,3278
41,n1,ｸﾗｯｼｬｰ☆ｼﾞｮｰ,1718,3266
42,n0,ｋａｚｕｋｕｎ剣,1905,3249
43,n1,アルネホーク,1998,3229
44,n2,桃牙,1518,3201
45,n16,ΨtinariΨ,2029,3198
46,n2,トト・レイニス,1603,3185
47,n1,†LightSide†,2002,3117
48,n1,サイバーナイト,2018,3115
49,n0,むぎちゃ。,2000,3113
50,n8,思いやりGDX,2010,3088
51,n0,あるせん,1936,3053
52,n9,‐鏡月‐,1925,2995
53,n9,アルス君,2000,2962
54,n2,shogi,1867,2933
55,n15,＄ＨＩＤＥ＄,1983,2924
56,n7,ずっさん,2010,2917
57,n19,♪☆神崎葵☆♪,2000,2893
58,n7,アバブ,2002,2880
59,n4,黄金卿の案内人,1042,2876
60,n12,ぽいんこ,1602,2842
61,n4,筋肉♂パイセン,1657,2793
62,n19,ζhaluluζ,1823,2755
63,n4,emg4159,1948,2739
64,n8,れもんψ,1915,2723
65,n1,ｱﾆﾘｿ,2001,2660
66,n1,ウリ☆,2010,2633
67,n8,二階堂パンパース,1910,2577
68,n10,ﾄﾛﾄﾛｵﾖﾖ,557,2561
69,n24,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,2545
70,n10,CherryShuffle,997,2516
71,n19,マハーデーヴィー,2006,2481
72,n20,夜廻まるか,2000,2456
73,n7,ﾃﾞｨｰﾝ･ｳｨﾝﾁｪｽﾀｰ,2000,2454
74,n1,RockAce,1871,2436
75,n6,hanacyan,2011,2398
76,n9,緋色＄,2000,2392
77,n5,ラクサスドレアン,2000,2386
78,n9,φAimerφ,1988,2368
79,n9,レリュム,1991,2364
80,n9,魔法姫ひかり,2000,2351
81,n2,§ＮＥＸＵＳ§,1024,2342
82,n9,＊鬼鮫＊,2003,2324
83,n2,ひるの,1906,2300
84,n2,豹弦,2000,2298
85,n13,kininaru姫,1984,2296
86,n6,しーふ君,888,2280
87,n9,濁心,1926,2272
88,n8,もぐらⅲ,2007,2266
89,n0,Jamii,1877,2265
90,n0,超炒飯,1109,2259
91,n8,ホロックス,1958,2250
92,n7,２式改,1650,2240
93,n19,Inocent,1781,2222
94,n11,あぷりこ,2000,2203
95,n4,最前線の開拓者,1305,2202
96,n8,とかいっぺ大将,1899,2195
97,n9,晴和,1976,2175
98,n9,ｍｅｒｙ,1795,2175
99,n21,対立ちゃん,2027,2164
100,n9,天日槍,1452,2150
