,職業,キャラクター,レベル,ポイント
1,,syouitirou,1925,33058
2,,ニャンニャンマン,907,9494
3,,ひろ１００１,1489,9043
4,,ＤＭＺ,1609,7236
5,,ミルリ,1987,6679
6,,つらあじ,1408,6461
7,,ＬＡ：ＮＡ,1753,6229
8,,嶋太郎,1630,5941
9,,きぃちゃ,666,4736
10,,叢雲のジュウザ,1197,4224
11,,DarkGradation,1800,4062
12,,おばさんULT,1804,3944
13,,☆もいちゃん☆,1456,3838
14,,新羅三郎,1750,3219
15,,Mｉnelva,1858,3168
16,,死神のJ,1390,3111
17,,エルスト,1077,2906
18,,†Einzbern,1191,2839
19,,DancingBravo,1781,2761
20,,八番手,1945,2751
21,,毒おじや,1703,2696
22,,☆夢露くん☆,1267,2559
23,,Rosenritter2,1268,2516
24,,らぶのーと♪,1916,2493
25,,武神゜,1926,2467
26,,shnzi,1430,2466
27,,pikashu,1867,2438
28,,ティダ射手,1749,2410
29,,大木陸,1552,2362
30,,ブレイブスカイ,1805,2238
31,,ピアッサ,969,2223
32,,ﾏｰｺﾞｯﾄ,1930,2172
33,,ペったー,1566,2161
34,,_Jun_,1774,2153
35,,ゆめごん,1890,2145
36,,段四郎,1445,2138
37,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1952,2137
38,,gingingin,1841,2126
39,,†金獅子姫†,1804,2098
40,,チャットとろい,1049,2094
41,,パラヌス,1787,2070
42,,☆セントレア☆,1820,2063
43,,AllRangeClear☆,1890,2001
44,,雷神の弓,1731,1999
45,,２２３２,1816,1987
46,,neon43,1833,1973
47,,jun53,920,1972
48,,チャット入力苦手,1034,1965
49,,れっどしーふ,1838,1961
50,,私は返事出来ん,1092,1941
51,,超越ゆめんごⅤ,1789,1935
52,,∬purposefire∬,1934,1919
53,,きゃぴ☆,1888,1918
54,,ソルディエンヌ,1788,1906
55,,腰痛の爺,1809,1897
56,,啓士郎,1825,1896
57,,PersephoneP,1710,1886
58,,δsnowδ,1820,1883
59,,LOVEマシーン♪,1800,1879
60,,＋ゆい＋,1787,1877
61,,millay,1853,1856
62,,マーキψ,1613,1833
63,,ナットウキナーゼ,1410,1820
64,,レミニセンス,1830,1791
65,,苺桜三玖,1767,1778
66,,Lionel・MessiⅡ,1838,1761
67,,ブルーマンジェロ,1042,1744
68,,愛知のトッシー,1230,1734
69,,kino2,923,1732
70,,醤油取って,1818,1724
71,,６９５,900,1716
72,,クレモル,1830,1687
73,,スガサワ,1713,1686
74,,北国ウルフ,1563,1683
75,,∬Veloce∬,1884,1682
76,,パリバリ,1724,1654
77,,楼麗莱,951,1654
78,,HIMAMA,1834,1641
79,,dokuringo,1790,1628
80,,浅研,1733,1606
81,,TS020,1318,1588
82,,（とち）,1196,1571
83,,＄reef＄,1771,1563
84,,バク天,966,1556
85,,megumi♪,1787,1553
86,,ダイワ☆,1125,1551
87,,バイマン先生,1180,1547
88,,ハイシェン姫,1706,1538
89,,tururu,1019,1537
90,,Ψmo☆moΨ,1463,1536
91,,銀九朗,1685,1526
92,,newkoara,1424,1522
93,,・まゆしぃ・,1621,1521
94,,Leila。,1510,1516
95,,Invisible元老,908,1509
96,,bitaminn,1850,1506
97,,モルディブ。,1719,1495
98,,RSQ_RAY,1537,1495
99,,ShineLight,1848,1491
100,,GLASS7,1728,1487
