,職業,キャラクター,レベル,ポイント
1,,krisu,1819,13567
2,,Tengallon,1559,10137
3,,キュウチャン,1195,7620
4,,ミツリン,1786,6414
5,,♪D－cyan♪,1441,6219
6,,ロザリナ☆,1698,5382
7,,jeil,981,5162
8,,mttt,1829,5054
9,,七色インコ,615,4860
10,,♪もも,1453,4346
11,,∴ジャヌψ,1320,4309
12,,槍まーりも,1462,4228
13,,takakazuma,982,4161
14,,あすみす,1283,4093
15,,たいやきあんこ,1847,3986
16,,ﾌｪﾘｯｸｽ,1270,3798
17,,レジェンド石橋,1840,3511
18,,不協和音♪,1348,3498
19,,りるどーぷ,1696,3402
20,,トト・レイニス,1597,3185
21,,夜刃神,1596,3031
22,,桃牙,1321,2843
23,,ﾌｪﾘｱ,1810,2840
24,,ちゃらめる,1780,2799
25,,ルベーグ2世,1804,2798
26,,筋肉♂パイセン,1657,2793
27,,ザンゾウ,924,2780
28,,ζhaluluζ,1823,2755
29,,Liliel,1736,2687
30,,セヴィ・ティセス,1440,2668
31,,ﾄﾛﾄﾛｵﾖﾖ,531,2561
32,,アリス・ワンダー,1841,2521
33,,CherryShuffle,997,2516
34,,shogi,1794,2512
35,,‐鏡月‐,1573,2499
36,,二階堂パンパース,1830,2490
37,,＄ＨＩＤＥ＄,1784,2484
38,,ｋａｚｕｋｕｎ剣,1748,2425
39,,ψXENOψ,1844,2359
40,,§ＮＥＸＵＳ§,1024,2342
41,,れもんψ,1833,2283
42,,しーふ君,888,2280
43,,サイバーナイト,1800,2261
44,,アルス君,1800,2259
45,,∬ましゅまろ∬,1723,2246
46,,超炒飯,1020,2201
47,,アバブ,1808,2195
48,,Inocent,1740,2195
49,,２式改,1618,2187
50,,天日槍,1328,2150
51,,てのひら,1574,2111
52,,misya☆,1258,2110
53,,弐華威堂,1739,2102
54,,小茉里,1116,2090
55,,【愛】チェルシー,1475,2072
56,,anderson,1299,2070
57,,陽奈♪,1716,2066
58,,思いやりGDX,1835,2060
59,,むぎちゃ。,1785,2049
60,,†LightSide†,1801,2024
61,,黄金卿の案内人,1011,2022
62,,RockAce,1714,2018
63,,虐殺ｵｰﾊﾞｰﾄﾞﾗｲﾌﾞ,1125,2017
64,,アリス☆☆,1321,2012
65,,RhymeDealer,1299,2010
66,,ﾄｰﾀﾙﾃﾝﾎﾞｽ,1717,1978
67,,夜廻まるか,1744,1976
68,,ｱﾆﾘｿ,1823,1949
69,,～マハルコ～，,1246,1913
70,,†盗掘者†,1001,1905
71,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1828,1898
72,,ボイスブリザード,1615,1893
73,,FalkeNaze,1708,1881
74,,ﾀｲｶﾞｰﾀﾅｶ,1277,1848
75,,元団長さん,1780,1817
76,,ひるの,1748,1816
77,,近代的なsouei,1618,1816
78,,永遠の暗闇,1722,1815
79,,真夏の雨§,1800,1812
80,,ｍｅｒｙ,1461,1811
81,,ラクサスドレアン,1805,1810
82,,しらすたっぷ。,1800,1777
83,,子供部屋おばさん,1736,1768
84,,otasam,1384,1764
85,,Jamii,1622,1763
86,,emg4159,1547,1759
87,,豹弦,1756,1752
88,,＠みゆ＠,1260,1747
89,,＊鬼鮫＊,1824,1719
90,,エルロン5,1738,1718
91,,元てつ,937,1684
92,,筋弛緩剤,1171,1679
93,,ずっさん,1804,1675
94,,更級？,1098,1665
95,,ＣＯＯＬ－ＪＯＥ,1365,1663
96,,サクラサケ,1804,1659
97,,緋色＄,1774,1646
98,,べルカンプ,1732,1638
99,,やわら,1009,1627
100,,Wide01,1094,1622
