,職業,キャラクター,レベル,ポイント
1,,ZODIAC6168,1581,20854
2,,はなおとめ,1319,10892
3,,おーいえ,1997,6354
4,,ｲﾝﾀｰﾈｯﾄ撲殺ﾏﾝ,1369,5934
5,,9rpm,1834,5728
6,,さなっしー,1833,4721
7,,アル・シェリ,984,4171
8,,誇り無き教主,1352,4103
9,,ScarletRuby,929,3988
10,,ぷーちゃん♪,2000,3698
11,,らっきーよだすけ,1918,3611
12,,創造神皇ダニエル,1272,3611
13,,ループド,1950,3591
14,,katsuxxx,1921,3487
15,,愛犬サクラ,2000,3369
16,,sevencraw,1046,3340
17,,残兵首領,1468,3142
18,,捨ノ型・生生流転,1926,3084
19,,ボイン姉ちゃん,1837,2859
20,,ハスラム,1110,2846
21,,【ポッセ】,1953,2844
22,,Diamant,1314,2811
23,,とろっとろ牛すじ,2000,2782
24,,＋カイト＋,1916,2739
25,,リタリン,951,2670
26,,風の歌,1842,2570
27,,シル星,1964,2500
28,,岡部誠∵,1556,2465
29,,ｷｰｽ･ｶｲ,1296,2419
30,,カマキリ令嬢,2000,2413
31,,戦士ちゃま,1616,2382
32,,RORONOA＋ZORO,1255,2379
33,,ヘビー,1261,2329
34,,RelMayer,1762,2257
35,,§エス§,1907,2213
36,,covid,1855,2202
37,,みゅうごろう,1948,2188
38,,つばきひめ,1655,2169
39,,らいみん,1266,2147
40,,ゅぅぁ,1775,2124
41,,J・T・Sサム,1676,2110
42,,じみ～,1750,2102
43,,メロメロイド,1418,2083
44,,Spallow_Tail,1629,2058
45,,狛狗,1857,2054
46,,狼輝,2000,2036
47,,間衣華,1784,2022
48,,カラー、,1052,1971
49,,アーリア。,2000,1969
50,,誇り無き追放天使,1283,1917
51,,daRinki,1605,1908
52,,☆ショップ☆,1780,1898
53,,趣味は・・・矢,1830,1893
54,,シュガ♪,1652,1870
55,,ooよーだoo,1257,1869
56,,ｱﾝﾄﾞﾚｻﾞｼﾞｬｲｱﾝﾄ,1521,1847
57,,おいえ天使,1501,1834
58,,アネット姫,717,1823
59,,↑ウラチャ↑,1267,1812
60,,瑞穂りん,1825,1803
61,,みどり先輩,1648,1787
62,,CV種田梨沙,1707,1764
63,,マイシャローナ,1506,1755
64,,ぷいきゅあ～,1807,1729
65,,UnBiR,2000,1686
66,,ナイア君,875,1637
67,,神風の隼,1781,1632
68,,DXUキャプテンUSA,1950,1623
69,,しらたま団子ＬＬ,2000,1602
70,,アンヘル＿,1374,1596
71,,皇虎,1255,1578
72,,BILL・PEACE,1260,1558
73,,魔法の壁,1552,1557
74,,お～い恋茶,1993,1551
75,,もんもんだよ,918,1548
76,,狼煌,1502,1547
77,,おじろくん,1756,1527
78,,トラウトサーモン,1807,1521
79,,Crewd,1430,1502
80,,ｂｏｗ‐ｗｏｗ,1855,1494
81,,ピレッソ,1725,1494
82,,イチゴ大福姫,1398,1491
83,,笛吹奏,1574,1475
84,,りんじょー,1992,1466
85,,RAD大好き,1778,1464
86,,マリジェンヌ,1131,1464
87,,☆アミュレット☆,903,1463
88,,くりゅ,1459,1457
89,,さなっしーJr,1238,1444
90,,yamada3000,1916,1439
91,,二代目おいえ,1276,1438
92,,えいしぐ,1637,1435
93,,最強姫あ,1632,1427
94,,heet,962,1423
95,,たこち,1857,1422
96,,＊hayato＊,1675,1397
97,,￡Gazelle,1515,1386
98,,城咲ロミオ,1774,1382
99,,NIFCO,559,1366
100,,darkfy,1924,1356
