,職業,キャラクター,レベル,ポイント
1,n9,krisu,2012,15488
2,n4,Tengallon,1701,11570
3,n5,キュウチャン,1281,7687
4,n7,ミツリン,1929,7098
5,n7,♪D－cyan♪,1543,6335
6,n16,mttt,2025,5740
7,n8,ロザリナ☆,1698,5382
8,n8,jeil,1010,5216
9,n6,七色インコ,616,4860
10,n12,たいやきあんこ,2013,4589
11,n8,∴ジャヌψ,1405,4469
12,n8,♪もも,1503,4347
13,n9,槍まーりも,1500,4253
14,n2,不協和音♪,1540,4204
15,n1,takakazuma,1015,4189
16,n7,ザンゾウ,930,4188
17,n9,レジェンド石橋,2000,4144
18,n7,あすみす,1283,4093
19,n3,ちゃらめる,2000,4084
20,n9,夜刃神,1850,3945
21,n5,ﾌｪﾘｯｸｽ,1363,3841
22,n25,アリス・ワンダー,2004,3796
23,n9,ボイスブリザード,2000,3579
24,n4,ψXENOψ,2002,3561
25,n19,ﾌｪﾘｱ,2010,3475
26,n20,Liliel,2000,3474
27,n9,りるどーぷ,1713,3411
28,n1,ルベーグ2世,1996,3375
29,n1,ｸﾗｯｼｬｰ☆ｼﾞｮｰ,1718,3266
30,n2,トト・レイニス,1599,3185
31,n2,桃牙,1443,3162
32,n0,ｋａｚｕｋｕｎ剣,1890,3155
33,n1,セヴィ・ティセス,1578,3138
34,n1,むぎちゃ。,2000,3113
35,n9,陽奈♪,1940,3112
36,n22,近代的なsouei,1891,3022
37,n1,†LightSide†,1990,2988
38,n8,思いやりGDX,2005,2951
39,n9,アルス君,2000,2951
40,n20,∬ましゅまろ∬,1901,2936
41,n2,shogi,1867,2933
42,n19,♪☆神崎葵☆♪,1996,2864
43,n9,‐鏡月‐,1853,2861
44,n12,ぽいんこ,1602,2842
45,n1,サイバーナイト,2005,2826
46,n7,アバブ,2002,2820
47,n8,azusachan,1907,2814
48,n4,筋肉♂パイセン,1657,2793
49,n19,ζhaluluζ,1823,2755
50,n9,れもんψ,1915,2723
51,n15,＄ＨＩＤＥ＄,1894,2720
52,n19,†フィル†,1938,2663
53,n7,ずっさん,1982,2577
54,n8,二階堂パンパース,1910,2577
55,n10,ﾄﾛﾄﾛｵﾖﾖ,547,2561
56,n24,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,2545
57,n19,骨ラーメン☆,1957,2521
58,n10,CherryShuffle,997,2516
59,n10,永遠の暗闇,2002,2485
60,n19,マハーデーヴィー,2006,2481
61,n4,黄金卿の案内人,1038,2481
62,n1,アルネホーク,1789,2474
63,n20,夜廻まるか,2000,2456
64,n9,緋色＄,2000,2390
65,n5,ラクサスドレアン,2000,2386
66,n1,RockAce,1847,2352
67,n9,魔法姫ひかり,2000,2343
68,n2,§ＮＥＸＵＳ§,1024,2342
69,n4,emg4159,1850,2304
70,n6,しーふ君,888,2280
71,n0,Jamii,1877,2265
72,n0,超炒飯,1087,2254
73,n1,あるせん,1801,2244
74,n7,２式改,1650,2240
75,n9,余貴真優,1818,2236
76,n2,豹弦,1976,2235
77,n9,＊鬼鮫＊,2000,2232
78,n19,Inocent,1771,2210
79,n1,ｱﾆﾘｿ,1946,2207
80,n4,最前線の開拓者,1305,2202
81,n8,もぐらⅲ,2006,2199
82,n11,あぷりこ,2000,2199
83,n2,ひるの,1874,2178
84,n9,天日槍,1396,2150
85,n6,hanacyan,2001,2131
86,n10,てのひら,1581,2111
87,n8,misya☆,1313,2110
88,n1,ウリ☆,2005,2108
89,n19,弐華威堂,1740,2102
90,n8,【愛】チェルシー,1506,2096
91,n13,アリス☆☆,1395,2090
92,n10,小茉里,1123,2090
93,n9,ホロックス,1921,2077
94,n2,anderson,1344,2070
95,n9,愛泉,2000,2067
96,n1,カジュアル,2000,2049
97,n9,ｍｅｒｙ,1638,2045
98,n1,虐殺ｵｰﾊﾞｰﾄﾞﾗｲﾌﾞ,1125,2017
99,n9,☆キノ♪,2000,2012
100,n5,RhymeDealer,1299,2010
