,職業,キャラクター,レベル,ポイント
1,,krisu,1852,14189
2,,Tengallon,1578,10411
3,,キュウチャン,1205,7620
4,,ミツリン,1804,6508
5,,♪D－cyan♪,1453,6228
6,,ロザリナ☆,1698,5382
7,,mttt,1920,5191
8,,jeil,989,5185
9,,七色インコ,615,4860
10,,♪もも,1456,4346
11,,∴ジャヌψ,1341,4346
12,,槍まーりも,1466,4231
13,,takakazuma,985,4166
14,,たいやきあんこ,1925,4137
15,,あすみす,1283,4093
16,,ﾌｪﾘｯｸｽ,1272,3799
17,,不協和音♪,1413,3768
18,,レジェンド石橋,1879,3684
19,,りるどーぷ,1697,3402
20,,ｸﾗｯｼｬｰ☆ｼﾞｮｰ,1718,3266
21,,トト・レイニス,1597,3185
22,,夜刃神,1615,3128
23,,ザンゾウ,926,3094
24,,ちゃらめる,1806,2961
25,,ﾌｪﾘｱ,1840,2922
26,,桃牙,1346,2910
27,,アリス・ワンダー,1903,2902
28,,ルベーグ2世,1816,2855
29,,ぽいんこ,1602,2842
30,,筋肉♂パイセン,1657,2793
31,,セヴィ・ティセス,1457,2758
32,,ζhaluluζ,1823,2755
33,,shogi,1819,2755
34,,Liliel,1742,2691
35,,れもんψ,1872,2605
36,,ｋａｚｕｋｕｎ剣,1780,2591
37,,ﾄﾛﾄﾛｵﾖﾖ,534,2561
38,,ψXENOψ,1917,2522
39,,CherryShuffle,997,2516
40,,二階堂パンパース,1848,2515
41,,＄ＨＩＤＥ＄,1797,2513
42,,‐鏡月‐,1573,2499
43,,§ＮＥＸＵＳ§,1024,2342
44,,∬ましゅまろ∬,1731,2290
45,,サイバーナイト,1827,2283
46,,しーふ君,888,2280
47,,アルス君,1803,2277
48,,思いやりGDX,1872,2271
49,,陽奈♪,1775,2251
50,,２式改,1650,2240
51,,超炒飯,1028,2204
52,,アバブ,1811,2195
53,,Inocent,1741,2195
54,,ボイスブリザード,1736,2180
55,,天日槍,1337,2150
56,,黄金卿の案内人,1014,2126
57,,むぎちゃ。,1805,2121
58,,てのひら,1575,2111
59,,misya☆,1267,2110
60,,弐華威堂,1740,2102
61,,RockAce,1741,2098
62,,小茉里,1123,2090
63,,【愛】チェルシー,1479,2073
64,,anderson,1309,2070
65,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1870,2064
66,,†LightSide†,1807,2037
67,,アリス☆☆,1338,2034
68,,虐殺ｵｰﾊﾞｰﾄﾞﾗｲﾌﾞ,1125,2017
69,,RhymeDealer,1299,2010
70,,ﾄｰﾀﾙﾃﾝﾎﾞｽ,1717,1978
71,,夜廻まるか,1745,1976
72,,ｱﾆﾘｿ,1844,1971
73,,近代的なsouei,1661,1961
74,,～マハルコ～，,1256,1921
75,,†盗掘者†,1004,1908
76,,ｍｅｒｙ,1515,1902
77,,ひるの,1768,1893
78,,ラクサスドレアン,1864,1888
79,,FalkeNaze,1708,1881
80,,永遠の暗闇,1765,1864
81,,emg4159,1568,1848
82,,ﾀｲｶﾞｰﾀﾅｶ,1277,1848
83,,Jamii,1652,1841
84,,元団長さん,1780,1817
85,,しらすたっぷ。,1836,1814
86,,真夏の雨§,1801,1812
87,,子供部屋おばさん,1737,1776
88,,otasam,1394,1764
89,,＊鬼鮫＊,1837,1759
90,,豹弦,1761,1759
91,,＠みゆ＠,1260,1747
92,,ずっさん,1811,1721
93,,†フィル†,1820,1718
94,,エルロン5,1740,1718
95,,元てつ,939,1684
96,,筋弛緩剤,1171,1679
97,,ＣＯＯＬ－ＪＯＥ,1379,1676
98,,緋色＄,1781,1675
99,,☆キノ♪,1822,1671
100,,更級？,1108,1665
