,職業,キャラクター,レベル,ポイント
1,,krisu,1882,14306
2,,Tengallon,1583,10467
3,,キュウチャン,1207,7620
4,,ミツリン,1813,6534
5,,♪D－cyan♪,1461,6236
6,,ロザリナ☆,1698,5382
7,,mttt,2000,5378
8,,jeil,990,5187
9,,七色インコ,615,4860
10,,∴ジャヌψ,1349,4362
11,,♪もも,1459,4346
12,,たいやきあんこ,2000,4306
13,,槍まーりも,1483,4239
14,,takakazuma,986,4168
15,,あすみす,1283,4093
16,,不協和音♪,1441,3812
17,,ﾌｪﾘｯｸｽ,1272,3799
18,,レジェンド石橋,1931,3797
19,,りるどーぷ,1697,3402
20,,ｸﾗｯｼｬｰ☆ｼﾞｮｰ,1718,3266
21,,トト・レイニス,1597,3185
22,,ザンゾウ,926,3154
23,,アリス・ワンダー,1953,3152
24,,夜刃神,1617,3131
25,,ちゃらめる,1825,3019
26,,ﾌｪﾘｱ,1864,2960
27,,桃牙,1354,2935
28,,ルベーグ2世,1838,2886
29,,ぽいんこ,1602,2842
30,,shogi,1836,2803
31,,筋肉♂パイセン,1657,2793
32,,セヴィ・ティセス,1470,2784
33,,ζhaluluζ,1823,2755
34,,ψXENOψ,2000,2751
35,,Liliel,1751,2708
36,,れもんψ,1902,2664
37,,ｋａｚｕｋｕｎ剣,1804,2630
38,,二階堂パンパース,1910,2577
39,,ﾄﾛﾄﾛｵﾖﾖ,534,2561
40,,＄ＨＩＤＥ＄,1812,2526
41,,CherryShuffle,997,2516
42,,‐鏡月‐,1573,2499
43,,思いやりGDX,1920,2372
44,,§ＮＥＸＵＳ§,1024,2342
45,,サイバーナイト,1857,2326
46,,∬ましゅまろ∬,1738,2308
47,,アルス君,1807,2283
48,,しーふ君,888,2280
49,,陽奈♪,1777,2260
50,,むぎちゃ。,1850,2247
51,,ボイスブリザード,1777,2243
52,,２式改,1650,2240
53,,超炒飯,1029,2204
54,,アバブ,1811,2195
55,,Inocent,1741,2195
56,,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,1918,2165
57,,天日槍,1340,2150
58,,黄金卿の案内人,1014,2126
59,,てのひら,1576,2111
60,,misya☆,1269,2110
61,,RockAce,1745,2107
62,,弐華威堂,1740,2102
63,,小茉里,1123,2090
64,,【愛】チェルシー,1487,2078
65,,anderson,1312,2070
66,,ラクサスドレアン,1940,2043
67,,†LightSide†,1809,2042
68,,アリス☆☆,1341,2034
69,,近代的なsouei,1691,2024
70,,虐殺ｵｰﾊﾞｰﾄﾞﾗｲﾌﾞ,1125,2017
71,,RhymeDealer,1299,2010
72,,永遠の暗闇,1847,1980
73,,ﾄｰﾀﾙﾃﾝﾎﾞｽ,1717,1978
74,,夜廻まるか,1745,1976
75,,ｱﾆﾘｿ,1844,1971
76,,ひるの,1794,1946
77,,～マハルコ～，,1257,1921
78,,†盗掘者†,1005,1909
79,,ｍｅｒｙ,1515,1902
80,,しらすたっぷ。,1910,1896
81,,FalkeNaze,1708,1881
82,,emg4159,1577,1869
83,,Jamii,1677,1868
84,,ﾀｲｶﾞｰﾀﾅｶ,1277,1848
85,,＊鬼鮫＊,1877,1826
86,,元団長さん,1780,1817
87,,真夏の雨§,1801,1812
88,,†フィル†,1836,1779
89,,子供部屋おばさん,1737,1776
90,,otasam,1396,1764
91,,豹弦,1762,1762
92,,ホロックス,1799,1756
93,,＠みゆ＠,1260,1747
94,,愛泉,1886,1729
95,,エルロン5,1756,1729
96,,カジュアル,1947,1727
97,,☆キノ♪,1858,1727
98,,ずっさん,1813,1723
99,,元てつ,939,1684
100,,筋弛緩剤,1171,1679
