,職業,キャラクター,レベル,ポイント
1,,ZODIAC6168,1569,20818
2,,はなおとめ,1319,10892
3,,おーいえ,1979,6174
4,,ｲﾝﾀｰﾈｯﾄ撲殺ﾏﾝ,1369,5792
5,,9rpm,1834,5723
6,,さなっしー,1833,4721
7,,アル・シェリ,983,4169
8,,ScarletRuby,929,3988
9,,誇り無き教主,1350,3929
10,,ぷーちゃん♪,2000,3698
11,,らっきーよだすけ,1918,3611
12,,創造神皇ダニエル,1272,3611
13,,ループド,1932,3450
14,,愛犬サクラ,2000,3369
15,,sevencraw,1046,3340
16,,katsuxxx,1902,3339
17,,残兵首領,1468,3142
18,,捨ノ型・生生流転,1868,2983
19,,ハスラム,1107,2832
20,,ボイン姉ちゃん,1827,2818
21,,Diamant,1304,2798
22,,とろっとろ牛すじ,2000,2782
23,,リタリン,951,2670
24,,＋カイト＋,1891,2648
25,,【ポッセ】,1915,2637
26,,風の歌,1832,2528
27,,岡部誠∵,1556,2465
28,,シル星,1937,2448
29,,ｷｰｽ･ｶｲ,1293,2418
30,,カマキリ令嬢,2000,2412
31,,RORONOA＋ZORO,1255,2379
32,,戦士ちゃま,1614,2369
33,,ヘビー,1257,2329
34,,RelMayer,1762,2257
35,,つばきひめ,1655,2169
36,,covid,1845,2150
37,,らいみん,1266,2147
38,,ゅぅぁ,1775,2124
39,,§エス§,1884,2123
40,,みゅうごろう,1925,2114
41,,J・T・Sサム,1676,2110
42,,じみ～,1750,2102
43,,メロメロイド,1418,2083
44,,Spallow_Tail,1629,2058
45,,狛狗,1857,2052
46,,間衣華,1784,2022
47,,狼輝,1991,1997
48,,カラー、,1052,1971
49,,daRinki,1605,1908
50,,趣味は・・・矢,1830,1893
51,,☆ショップ☆,1779,1893
52,,ooよーだoo,1257,1869
53,,シュガ♪,1643,1843
54,,おいえ天使,1500,1834
55,,アネット姫,717,1823
56,,ｱﾝﾄﾞﾚｻﾞｼﾞｬｲｱﾝﾄ,1513,1821
57,,アーリア。,1973,1816
58,,↑ウラチャ↑,1267,1812
59,,誇り無き追放天使,1276,1793
60,,CV種田梨沙,1707,1764
61,,マイシャローナ,1494,1724
62,,ぷいきゅあ～,1795,1713
63,,みどり先輩,1576,1687
64,,瑞穂りん,1769,1668
65,,ナイア君,875,1637
66,,UnBiR,1993,1635
67,,神風の隼,1781,1632
68,,しらたま団子ＬＬ,2000,1596
69,,皇虎,1253,1578
70,,アンヘル＿,1368,1577
71,,魔法の壁,1552,1557
72,,BILL・PEACE,1257,1553
73,,もんもんだよ,918,1548
74,,狼煌,1502,1547
75,,おじろくん,1756,1527
76,,DXUキャプテンUSA,1925,1523
77,,トラウトサーモン,1806,1519
78,,お～い恋茶,1966,1502
79,,Crewd,1430,1502
80,,ピレッソ,1725,1494
81,,イチゴ大福姫,1394,1491
82,,笛吹奏,1572,1470
83,,マリジェンヌ,1131,1464
84,,☆アミュレット☆,903,1463
85,,ｂｏｗ‐ｗｏｗ,1811,1459
86,,くりゅ,1459,1457
87,,RAD大好き,1772,1455
88,,さなっしーJr,1238,1444
89,,二代目おいえ,1276,1438
90,,yamada3000,1907,1430
91,,最強姫あ,1632,1424
92,,heet,962,1423
93,,＊hayato＊,1675,1397
94,,たこち,1838,1396
95,,￡Gazelle,1515,1384
96,,えいしぐ,1585,1381
97,,NIFCO,559,1366
98,,りんじょー,1966,1357
99,,城咲ロミオ,1730,1348
100,,ranko_star,1804,1342
