,職業,キャラクター,レベル,ポイント
1,,krisu,1812,13477
2,,Tengallon,1532,9801
3,,キュウチャン,1177,7606
4,,ミツリン,1751,6274
5,,♪D－cyan♪,1431,6197
6,,ロザリナ☆,1698,5382
7,,jeil,978,5137
8,,mttt,1827,5054
9,,七色インコ,615,4860
10,,♪もも,1451,4346
11,,∴ジャヌψ,1297,4269
12,,槍まーりも,1461,4228
13,,takakazuma,977,4158
14,,あすみす,1280,4093
15,,ﾌｪﾘｯｸｽ,1253,3785
16,,たいやきあんこ,1835,3489
17,,りるどーぷ,1643,3267
18,,不協和音♪,1264,3252
19,,レジェンド石橋,1829,3230
20,,トト・レイニス,1597,3185
21,,夜刃神,1566,2897
22,,筋肉♂パイセン,1657,2793
23,,桃牙,1293,2772
24,,ﾌｪﾘｱ,1795,2763
25,,ζhaluluζ,1819,2733
26,,ルベーグ2世,1802,2729
27,,Liliel,1732,2672
28,,ちゃらめる,1752,2671
29,,セヴィ・ティセス,1422,2563
30,,ﾄﾛﾄﾛｵﾖﾖ,529,2561
31,,ザンゾウ,924,2540
32,,CherryShuffle,997,2516
33,,‐鏡月‐,1573,2499
34,,二階堂パンパース,1828,2490
35,,shogi,1788,2486
36,,＄ＨＩＤＥ＄,1748,2441
37,,しーふ君,888,2280
38,,ｋａｚｕｋｕｎ剣,1705,2245
39,,超炒飯,1015,2201
40,,Inocent,1740,2195
41,,アバブ,1801,2179
42,,２式改,1600,2159
43,,天日槍,1319,2150
44,,サイバーナイト,1741,2139
45,,てのひら,1574,2111
46,,misya☆,1247,2109
47,,弐華威堂,1738,2102
48,,小茉里,1109,2079
49,,anderson,1290,2070
50,,【愛】チェルシー,1470,2055
51,,虐殺ｵｰﾊﾞｰﾄﾞﾗｲﾌﾞ,1125,2017
52,,RhymeDealer,1298,2010
53,,アリス・ワンダー,1828,2009
54,,∬ましゅまろ∬,1672,2007
55,,アリス☆☆,1300,1982
56,,ﾄｰﾀﾙﾃﾝﾎﾞｽ,1717,1978
57,,夜廻まるか,1744,1976
58,,ｱﾆﾘｿ,1820,1940
59,,黄金卿の案内人,1008,1931
60,,むぎちゃ。,1747,1906
61,,†盗掘者†,993,1896
62,,～マハルコ～，,1232,1889
63,,†LightSide†,1770,1882
64,,FalkeNaze,1708,1881
65,,RockAce,1654,1872
66,,アルス君,1648,1859
67,,ﾀｲｶﾞｰﾀﾅｶ,1277,1848
68,,ψXENOψ,1832,1837
69,,元団長さん,1780,1817
70,,永遠の暗闇,1719,1814
71,,陽奈♪,1603,1814
72,,ｍｅｒｙ,1442,1778
73,,しらすたっぷ。,1800,1775
74,,思いやりGDX,1822,1766
75,,otasam,1375,1764
76,,ラクサスドレアン,1800,1760
77,,子供部屋おばさん,1726,1748
78,,＠みゆ＠,1259,1747
79,,豹弦,1735,1720
80,,れもんψ,1817,1719
81,,エルロン5,1738,1718
82,,ひるの,1707,1698
83,,Jamii,1596,1680
84,,筋弛緩剤,1171,1679
85,,更級？,1089,1665
86,,ＣＯＯＬ－ＪＯＥ,1350,1642
87,,べルカンプ,1732,1638
88,,ボイスブリザード,1509,1637
89,,サクラサケ,1793,1636
90,,emg4159,1507,1636
91,,＊鬼鮫＊,1817,1630
92,,やわら,1009,1627
93,,近代的なsouei,1566,1625
94,,グライムズ01,1754,1619
95,,ネコ・ジャラシ,1714,1607
96,,エルネスティ,1507,1601
97,,Ameron,927,1594
98,,†大和なでし子,1494,1591
99,,870＠支援,1061,1590
100,,CROSSJUSTICE,1492,1588
