,職業,キャラクター,レベル,ポイント
1,,syouitirou,2000,33589
2,,ひろ１００１,1634,10422
3,,ニャンニャンマン,910,9554
4,,ＤＭＺ,1738,7549
5,,ミルリ,2024,7379
6,,つらあじ,1408,6461
7,,嶋太郎,1742,6407
8,,ＬＡ：ＮＡ,1772,6400
9,,Mｉnelva,2000,5928
10,,きぃちゃ,666,4736
11,,おばさんULT,1922,4437
12,,叢雲のジュウザ,1223,4224
13,,DarkGradation,1801,4062
14,,☆もいちゃん☆,1501,3869
15,,新羅三郎,1812,3386
16,,毒おじや,1879,3358
17,,死神のJ,1528,3281
18,,武神゜,2011,3270
19,,pikashu,2001,3270
20,,ティダ射手,1976,3218
21,,†金獅子姫†,1963,3107
22,,☆セントレア☆,2000,3075
23,,ブレイブスカイ,2008,3059
24,,らぶのーと♪,2000,3001
25,,八番手,2000,2987
26,,れっどしーふ,2002,2959
27,,エルスト,1100,2936
28,,ﾏｰｺﾞｯﾄ,2021,2889
29,,†Einzbern,1191,2839
30,,shnzi,1573,2828
31,,DancingBravo,1784,2768
32,,gingingin,1975,2701
33,,neon43,2010,2614
34,,ゆめごん,2000,2605
35,,☆夢露くん☆,1298,2559
36,,醤油取って,2000,2533
37,,Rosenritter2,1281,2516
38,,PersephoneP,1918,2515
39,,大木陸,1598,2495
40,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2001,2449
41,,パラヌス,1861,2445
42,,schｉller,1801,2378
43,,AllRangeClear☆,2000,2375
44,,δsnowδ,2000,2344
45,,啓士郎,1980,2327
46,,ぽこっさん,2000,2320
47,,_Jun_,1861,2292
48,,コールドプレイ,2000,2267
49,,きゃぴ☆,2000,2263
50,,段四郎,1518,2256
51,,レミニセンス,2000,2229
52,,ピアッサ,971,2223
53,,LOVEマシーン♪,1873,2169
54,,ペったー,1579,2162
55,,∬purposefire∬,2000,2152
56,,２２３２,1911,2145
57,,クレモル,1941,2125
58,,雷神の弓,1802,2115
59,,潜伏期間,1853,2109
60,,チャットとろい,1066,2107
61,,＄デビル＄,1952,2100
62,,つよみん,2024,2081
63,,高天原ゆとり,2000,2041
64,,RSQ_RAY,1807,2020
65,,お前もう船降りろ,1985,2007
66,,dokuringo,1975,1992
67,,マーキψ,1715,1989
68,,チャット入力苦手,1050,1981
69,,amagon,2010,1977
70,,私は返事出来ん,1110,1977
71,,jun53,920,1972
72,,浅研,1896,1968
73,,超越ゆめんごⅤ,1823,1968
74,,リンチェンコ,2000,1964
75,,お試しください♪,2003,1963
76,,ソルディエンヌ,1812,1955
77,,◇妖精◇,1885,1947
78,,北国ウルフ,1824,1926
79,,AiryKuroe,2000,1922
80,,Lionel・MessiⅡ,1903,1922
81,,ShineLight,2000,1917
82,,苺桜三玖,1868,1913
83,,腰痛の爺,1809,1897
84,,迷える妖精,1766,1893
85,,∬Veloce∬,1957,1892
86,,＋ゆい＋,1787,1877
87,,Ψmo☆moΨ,1627,1866
88,,ナットウキナーゼ,1434,1832
89,,＄reef＄,1934,1831
90,,コマ足,1838,1811
91,,kino2,960,1807
92,,bsk団,1951,1785
93,,ビッグマ万太郎,2000,1753
94,,スガサワ,1787,1748
95,,ブルーマンジェロ,1047,1744
96,,愛知のトッシー,1265,1734
97,,６９５,900,1716
98,,ダーシュ！,1887,1715
99,,パリバリ,1785,1687
100,,TS020,1383,1679
