,職業,キャラクター,レベル,ポイント
1,,syouitirou,1803,32299
2,,ニャンニャンマン,905,9453
3,,ＤＭＺ,1466,6654
4,,ＬＡ：ＮＡ,1739,6157
5,,ミルリ,1840,5773
6,,嶋太郎,1518,4780
7,,きぃちゃ,666,4736
8,,叢雲のジュウザ,1189,4224
9,,DarkGradation,1751,4014
10,,☆もいちゃん☆,1456,3838
11,,おばさんULT,1785,3637
12,,新羅三郎,1711,3142
13,,死神のJ,1390,3111
14,,Mｉnelva,1800,2961
15,,エルスト,1065,2896
16,,†Einzbern,1191,2839
17,,DancingBravo,1752,2647
18,,☆夢露くん☆,1251,2559
19,,毒おじや,1633,2557
20,,Rosenritter2,1254,2516
21,,shnzi,1402,2376
22,,八番手,1830,2299
23,,大木陸,1515,2297
24,,pikashu,1808,2287
25,,ブレイブスカイ,1801,2238
26,,ピアッサ,967,2223
27,,武神゜,1825,2209
28,,らぶのーと♪,1821,2166
29,,段四郎,1445,2138
30,,ペったー,1550,2128
31,,チャットとろい,1045,2093
32,,_Jun_,1727,2078
33,,ゆめごん,1802,2010
34,,jun53,920,1972
35,,チャット入力苦手,1021,1964
36,,雷神の弓,1698,1943
37,,私は返事出来ん,1082,1939
38,,gingingin,1766,1922
39,,２２３２,1715,1900
40,,†金獅子姫†,1721,1891
41,,ティダ射手,1497,1876
42,,ソルディエンヌ,1732,1868
43,,腰痛の爺,1806,1856
44,,δsnowδ,1809,1855
45,,AllRangeClear☆,1795,1825
46,,超越ゆめんごⅤ,1686,1824
47,,ナットウキナーゼ,1404,1817
48,,neon43,1825,1808
49,,☆セントレア☆,1755,1803
50,,マーキψ,1584,1785
51,,パラヌス,1729,1770
52,,啓士郎,1731,1755
53,,ブルーマンジェロ,1028,1744
54,,愛知のトッシー,1225,1734
55,,LOVEマシーン♪,1754,1733
56,,PersephoneP,1639,1719
57,,６９５,900,1716
58,,kino2,915,1698
59,,Lionel・MessiⅡ,1803,1695
60,,れっどしーふ,1780,1691
61,,ﾏｰｺﾞｯﾄ,1833,1690
62,,スガサワ,1711,1686
63,,millay,1786,1680
64,,醤油取って,1777,1674
65,,苺桜三玖,1687,1657
66,,楼麗莱,951,1654
67,,北国ウルフ,1520,1652
68,,パリバリ,1717,1639
69,,クレモル,1804,1582
70,,TS020,1296,1582
71,,dokuringo,1771,1577
72,,∬purposefire∬,1825,1576
73,,＋ゆい＋,1706,1574
74,,HIMAMA,1794,1571
75,,∬Veloce∬,1800,1570
76,,浅研,1706,1561
77,,バク天,962,1556
78,,（とち）,1179,1552
79,,ダイワ☆,1125,1551
80,,バイマン先生,1178,1546
81,,レミニセンス,1726,1545
82,,tururu,1019,1537
83,,Leila。,1510,1516
84,,newkoara,1406,1515
85,,きゃぴ☆,1803,1514
86,,Invisible元老,908,1509
87,,モルディブ。,1715,1495
88,,エクアカイザー,1141,1479
89,,いみそ～れ,1383,1468
90,,高嶋彩,670,1466
91,,megumi♪,1713,1459
92,,銀九朗,1665,1456
93,,バッジオ,1405,1445
94,,移動する点Ｐ,1727,1442
95,,・まゆしぃ・,1599,1438
96,,奇襲,1300,1438
97,,チャットがおそい,1037,1435
98,,佐々木のぞみ,1430,1429
99,,＄reef＄,1642,1422
100,,高天原ゆとり,1813,1414
