,職業,キャラクター,レベル,ポイント
1,,syouitirou,1948,33167
2,,ニャンニャンマン,907,9505
3,,ひろ１００１,1495,9053
4,,ＤＭＺ,1609,7236
5,,ミルリ,2000,6748
6,,つらあじ,1408,6461
7,,ＬＡ：ＮＡ,1754,6235
8,,嶋太郎,1630,5941
9,,きぃちゃ,666,4736
10,,叢雲のジュウザ,1198,4224
11,,DarkGradation,1800,4062
12,,おばさんULT,1804,3946
13,,☆もいちゃん☆,1456,3838
14,,新羅三郎,1755,3227
15,,Mｉnelva,1866,3220
16,,死神のJ,1390,3111
17,,エルスト,1077,2906
18,,†Einzbern,1191,2839
19,,八番手,1953,2787
20,,DancingBravo,1781,2763
21,,毒おじや,1714,2726
22,,らぶのーと♪,1931,2581
23,,☆夢露くん☆,1268,2559
24,,武神゜,1945,2550
25,,Rosenritter2,1269,2516
26,,pikashu,1881,2478
27,,shnzi,1437,2477
28,,ティダ射手,1764,2448
29,,大木陸,1553,2362
30,,ブレイブスカイ,1805,2238
31,,ピアッサ,969,2223
32,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,1965,2216
33,,ﾏｰｺﾞｯﾄ,1931,2184
34,,ゆめごん,1895,2162
35,,ペったー,1567,2161
36,,gingingin,1849,2155
37,,_Jun_,1774,2153
38,,段四郎,1445,2138
39,,†金獅子姫†,1810,2118
40,,チャットとろい,1050,2094
41,,パラヌス,1787,2072
42,,☆セントレア☆,1820,2063
43,,AllRangeClear☆,1891,2006
44,,雷神の弓,1731,1999
45,,れっどしーふ,1843,1988
46,,２２３２,1816,1987
47,,neon43,1833,1973
48,,jun53,920,1972
49,,∬purposefire∬,1951,1970
50,,チャット入力苦手,1034,1965
51,,私は返事出来ん,1092,1943
52,,超越ゆめんごⅤ,1789,1935
53,,きゃぴ☆,1888,1918
54,,ソルディエンヌ,1788,1906
55,,PersephoneP,1717,1903
56,,啓士郎,1825,1899
57,,腰痛の爺,1809,1897
58,,millay,1860,1891
59,,δsnowδ,1820,1884
60,,LOVEマシーン♪,1801,1879
61,,＋ゆい＋,1787,1877
62,,マーキψ,1613,1833
63,,ナットウキナーゼ,1412,1820
64,,レミニセンス,1830,1791
65,,苺桜三玖,1767,1778
66,,Lionel・MessiⅡ,1838,1761
67,,ブルーマンジェロ,1042,1744
68,,愛知のトッシー,1231,1734
69,,kino2,923,1734
70,,醤油取って,1818,1724
71,,６９５,900,1716
72,,∬Veloce∬,1890,1699
73,,クレモル,1832,1694
74,,スガサワ,1713,1686
75,,北国ウルフ,1564,1683
76,,パリバリ,1724,1654
77,,楼麗莱,951,1654
78,,HIMAMA,1834,1641
79,,dokuringo,1793,1637
80,,浅研,1733,1606
81,,TS020,1319,1588
82,,（とち）,1197,1571
83,,＄reef＄,1772,1565
84,,バク天,966,1556
85,,megumi♪,1788,1554
86,,ダイワ☆,1125,1551
87,,Ψmo☆moΨ,1468,1548
88,,バイマン先生,1180,1547
89,,ハイシェン姫,1706,1538
90,,tururu,1019,1537
91,,bitaminn,1854,1529
92,,銀九朗,1685,1526
93,,newkoara,1426,1522
94,,・まゆしぃ・,1621,1521
95,,Leila。,1510,1516
96,,RSQ_RAY,1542,1511
97,,Invisible元老,908,1509
98,,ShineLight,1851,1500
99,,モルディブ。,1720,1495
100,,GLASS7,1728,1487
