,職業,キャラクター,レベル,ポイント
1,,ZODIAC6168,1427,20354
2,,はなおとめ,1313,10891
3,,9rpm,1724,5300
4,,おーいえ,1807,4743
5,,ｲﾝﾀｰﾈｯﾄ撲殺ﾏﾝ,1365,4418
6,,さなっしー,1755,4401
7,,アル・シェリ,965,4161
8,,ScarletRuby,929,3988
9,,らっきーよだすけ,1719,3472
10,,sevencraw,1034,3338
11,,残兵首領,1463,3140
12,,捨ノ型・生生流転,1779,2790
13,,ハスラム,1067,2697
14,,愛犬サクラ,1787,2631
15,,Diamant,987,2630
16,,岡部誠∵,1551,2461
17,,ｷｰｽ･ｶｲ,1263,2414
18,,誇り無き教主,1324,2403
19,,ぷーちゃん♪,1832,2397
20,,＋カイト＋,1761,2342
21,,ヘビー,1217,2328
22,,katsuxxx,1764,2304
23,,シル星,1816,2212
24,,RelMayer,1740,2151
25,,風の歌,1710,2151
26,,らいみん,1259,2147
27,,じみ～,1748,2102
28,,【ポッセ】,1706,2054
29,,ループド,1746,2042
30,,ゅぅぁ,1737,2037
31,,戦士ちゃま,1420,1998
32,,カラー、,1051,1971
33,,間衣華,1743,1960
34,,daRinki,1605,1908
35,,とろっとろ牛すじ,1721,1906
36,,covid,1743,1881
37,,ooよーだoo,1256,1869
38,,アネット姫,716,1823
39,,↑ウラチャ↑,1250,1812
40,,狛狗,1766,1811
41,,CV種田梨沙,1707,1764
42,,趣味は・・・矢,1820,1723
43,,Spallow_Tail,1535,1723
44,,☆ショップ☆,1744,1694
45,,おいえ天使,1400,1678
46,,シュガ♪,1589,1661
47,,ナイア君,875,1637
48,,マイシャローナ,1406,1609
49,,カマキリ令嬢,1804,1576
50,,皇虎,1028,1572
51,,みゅうごろう,1558,1541
52,,おじろくん,1756,1527
53,,神風の隼,1710,1514
54,,狼煌,1472,1508
55,,Crewd,1429,1501
56,,アンヘル＿,1323,1492
57,,イチゴ大福姫,1342,1479
58,,マリジェンヌ,1131,1464
59,,さなっしーJr,1215,1444
60,,BILL・PEACE,1147,1435
61,,二代目おいえ,1273,1434
62,,ピレッソ,1705,1431
63,,heet,961,1423
64,,トラウトサーモン,1752,1400
65,,RAD大好き,1716,1399
66,,狼輝,1775,1395
67,,§エス§,1542,1388
68,,最強姫あ,1600,1382
69,,NIFCO,559,1366
70,,ぷいきゅあ～,1622,1352
71,,￡Gazelle,1458,1335
72,,ｂｏｗ‐ｗｏｗ,1762,1327
73,,もちゃ王,1431,1327
74,,Vergiftung,1006,1313
75,,CV水瀬いのり,1676,1312
76,,アーリア。,1732,1305
77,,城咲ロミオ,1665,1300
78,,ねこぱんつ,1202,1294
79,,つんで･れい,1716,1279
80,,新撰組近藤,976,1278
81,,peace。,1568,1272
82,,イフリィート,1405,1263
83,,ranko_star,1733,1261
84,,☆ぷりんちゃん,778,1254
85,,めぎぃ,1468,1253
86,,UltimateRAD,1720,1245
87,,笛吹奏,1488,1243
88,,未來♪,1258,1242
89,,Tummy,1321,1238
90,,えいしぐ,1514,1230
91,,ワユ,1592,1213
92,,Lacris,1501,1213
93,,たこち,1750,1207
94,,Gazelle_tim,1257,1199
95,,るーしぇ。,995,1199
96,,swordko,1711,1198
97,,お～い恋茶,1767,1194
98,,yamada3000,1696,1186
99,,弓兵頭,1732,1183
100,,リヤン,1424,1181
