,職業,キャラクター,レベル,ポイント
1,n2,syouitirou,2000,33613
2,n1,ひろ１００１,1694,10538
3,n2,ニャンニャンマン,910,9554
4,n4,ＤＭＺ,1745,7569
5,n10,ミルリ,2028,7554
6,n19,つらあじ,1408,6461
7,n23,嶋太郎,1746,6429
8,n6,ＬＡ：ＮＡ,1772,6402
9,n8,Mｉnelva,2000,5928
10,n2,きぃちゃ,666,4736
11,n9,おばさんULT,1922,4437
12,n0,叢雲のジュウザ,1225,4224
13,n20,DarkGradation,1801,4062
14,n1,☆もいちゃん☆,1501,3869
15,n1,毒おじや,1890,3390
16,n1,新羅三郎,1812,3386
17,n9,武神゜,2013,3329
18,n9,ティダ射手,1992,3313
19,n1,死神のJ,1529,3281
20,n10,pikashu,2001,3270
21,n9,†金獅子姫†,1980,3205
22,n1,ブレイブスカイ,2010,3115
23,n9,☆セントレア☆,2000,3075
24,n9,らぶのーと♪,2000,3001
25,n7,れっどしーふ,2003,2992
26,n20,八番手,2000,2987
27,n24,ﾏｰｺﾞｯﾄ,2024,2944
28,n6,エルスト,1101,2936
29,n0,shnzi,1580,2846
30,n0,†Einzbern,1191,2839
31,n1,DancingBravo,1784,2768
32,n7,gingingin,1985,2747
33,n16,neon43,2010,2617
34,n13,ゆめごん,2000,2606
35,n20,PersephoneP,1927,2563
36,n2,☆夢露くん☆,1301,2559
37,n0,醤油取って,2000,2533
38,n9,大木陸,1611,2517
39,n9,Rosenritter2,1281,2516
40,n10,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2001,2449
41,n6,パラヌス,1862,2445
42,n1,啓士郎,1998,2395
43,n13,schｉller,1802,2388
44,n19,AllRangeClear☆,2000,2375
45,n22,δsnowδ,2000,2350
46,n10,ぽこっさん,2000,2320
47,n8,_Jun_,1868,2305
48,n1,段四郎,1537,2292
49,n16,きゃぴ☆,2001,2277
50,n6,コールドプレイ,2000,2267
51,n23,レミニセンス,2000,2229
52,n10,ピアッサ,971,2223
53,n9,LOVEマシーン♪,1904,2206
54,n1,潜伏期間,1865,2173
55,n2,＄デビル＄,1963,2170
56,n8,雷神の弓,1848,2168
57,n2,２２３２,1924,2166
58,n8,ペったー,1579,2162
59,n8,∬purposefire∬,2000,2152
60,n9,クレモル,1941,2125
61,n10,つよみん,2026,2112
62,n9,チャットとろい,1068,2109
63,n0,RSQ_RAY,1832,2078
64,n19,dokuringo,2000,2044
65,n10,迷える妖精,1843,2043
66,n5,高天原ゆとり,2000,2042
67,n16,お試しください♪,2007,2016
68,n24,お前もう船降りろ,1985,2007
69,n9,マーキψ,1734,2007
70,n10,チャット入力苦手,1051,1984
71,n8,浅研,1900,1980
72,n0,amagon,2010,1979
73,n10,北国ウルフ,1864,1979
74,n5,私は返事出来ん,1111,1979
75,n2,jun53,920,1972
76,n9,超越ゆめんごⅤ,1823,1968
77,n19,リンチェンコ,2000,1964
78,n20,苺桜三玖,1894,1961
79,n16,◇妖精◇,1891,1959
80,n8,ソルディエンヌ,1812,1955
81,n9,Lionel・MessiⅡ,1916,1954
82,n10,AiryKuroe,2000,1931
83,n20,ShineLight,2000,1917
84,n7,腰痛の爺,1809,1897
85,n10,Ψmo☆moΨ,1646,1894
86,n20,∬Veloce∬,1957,1892
87,n10,＋ゆい＋,1787,1877
88,n8,コマ足,1853,1862
89,n2,ナットウキナーゼ,1434,1832
90,n1,＄reef＄,1934,1831
91,n11,bsk団,1965,1830
92,n2,kino2,960,1809
93,n5,ビッグマ万太郎,2000,1753
94,n1,スガサワ,1787,1750
95,n6,ブルーマンジェロ,1050,1744
96,n1,ダーシュ！,1896,1736
97,n1,愛知のトッシー,1267,1734
98,n9,Mｙｓｔic,2000,1718
99,n10,６９５,900,1716
100,n12,パリバリ,1785,1687
