,職業,キャラクター,レベル,ポイント
1,n8,ミウ,26,65535
2,n9,krisu,2023,15773
3,n4,Tengallon,1874,13825
4,n18,GameMaster1,1,9057
5,n7,ミツリン,2001,7872
6,n9,Magic1an,2004,7749
7,n5,キュウチャン,1368,7709
8,n7,ザンゾウ,935,6425
9,n7,♪D－cyan♪,1598,6388
10,n4,ψXENOψ,2014,6092
11,n16,mttt,2032,5859
12,n8,ロザリナ☆,1698,5382
13,n8,jeil,1035,5272
14,n6,七色インコ,617,4860
15,n12,たいやきあんこ,2013,4589
16,n8,∴ジャヌψ,1415,4490
17,n8,夜刃神,1904,4446
18,n19,骨ラーメン☆,2032,4395
19,n3,ちゃらめる,2009,4386
20,n8,♪もも,1506,4347
21,n2,不協和音♪,1574,4291
22,n8,槍まーりも,1500,4253
23,n1,takakazuma,1034,4216
24,n9,ボイスブリザード,2002,4212
25,n9,レジェンド石橋,2000,4146
26,n7,あすみす,1283,4093
27,n8,azusachan,2000,4048
28,n22,近代的なsouei,1966,4043
29,n10,永遠の暗闇,2038,4016
30,n5,ﾌｪﾘｯｸｽ,1446,3873
31,n9,りるどーぷ,2002,3870
32,n25,アリス・ワンダー,2004,3803
33,n20,Liliel,2001,3797
34,n1,†LightSide†,2024,3645
35,n16,ΨtinariΨ,2030,3623
36,n9,陽奈♪,2000,3618
37,n19,6shou,2000,3617
38,n19,ﾌｪﾘｱ,2015,3592
39,n19,†フィル†,2000,3583
40,n1,アルネホーク,2000,3571
41,n16,VVVV0VVV,1927,3400
42,n1,ルベーグ2世,2000,3382
43,n21,∬ましゅまろ∬,1938,3370
44,n1,サイバーナイト,2028,3347
45,n1,ｸﾗｯｼｬｰ☆ｼﾞｮｰ,1759,3341
46,n1,セヴィ・ティセス,1636,3280
47,n2,桃牙,1539,3253
48,n0,ｋａｚｕｋｕｎ剣,1905,3249
49,n2,トト・レイニス,1607,3185
50,n4,黄金卿の案内人,1044,3146
51,n7,ずっさん,2019,3134
52,n0,むぎちゃ。,2000,3114
53,n8,思いやりGDX,2010,3088
54,n4,emg4159,2000,3083
55,n9,‐鏡月‐,2000,3062
56,n0,あるせん,1936,3054
57,n15,＄ＨＩＤＥ＄,2001,3047
58,n7,アバブ,2002,3014
59,n9,アルス君,2000,3009
60,n2,shogi,1867,2933
61,n19,♪☆神崎葵☆♪,2000,2893
62,n9,濁心,2000,2846
63,n12,ぽいんこ,1602,2842
64,n4,筋肉♂パイセン,1657,2793
65,n1,ウリ☆,2010,2773
66,n9,由利奈,2000,2764
67,n19,ζhaluluζ,1823,2755
68,n8,とかいっぺ大将,1956,2740
69,n1,ｱﾆﾘｿ,2005,2735
70,n8,れもんψ,1915,2723
71,n9,QQBX,1605,2597
72,n8,二階堂パンパース,1910,2577
73,n10,ﾄﾛﾄﾛｵﾖﾖ,570,2561
74,n24,ｷｬﾌﾟﾃﾝ・ﾌｧﾙ君,2001,2545
75,n10,CherryShuffle,997,2516
76,n19,マハーデーヴィー,2006,2481
77,n20,夜廻まるか,2000,2456
78,n7,ﾃﾞｨｰﾝ･ｳｨﾝﾁｪｽﾀｰ,2000,2454
79,n1,RockAce,1876,2454
80,n8,もぐらⅲ,2008,2422
81,n9,＊鬼鮫＊,2004,2402
82,n5,ラクサスドレアン,2000,2401
83,n25,『追浪』♀少女ん,1962,2401
84,n10,あぷりこ,2010,2400
85,n9,緋色＄,2000,2400
86,n9,レリュム,2000,2399
87,n6,hanacyan,2011,2398
88,n9,魔法姫ひかり,2000,2375
89,n13,kininaru姫,1992,2369
90,n9,φAimerφ,1988,2368
91,n20,純燼,2017,2349
92,n2,§ＮＥＸＵＳ§,1024,2342
93,n2,豹弦,2001,2337
94,n2,ひるの,1912,2335
95,n9,晴和,2000,2330
96,n0,超炒飯,1278,2326
97,n6,しーふ君,888,2280
98,n0,Jamii,1877,2265
99,n8,ホロックス,1960,2256
100,n1,スサノヲχ,2000,2251
