,職業,キャラクター,レベル,ポイント
1,,syouitirou,2000,33558
2,,ニャンニャンマン,907,9522
3,,ひろ１００１,1524,9270
4,,ＤＭＺ,1636,7318
5,,ミルリ,2000,6753
6,,つらあじ,1408,6461
7,,ＬＡ：ＮＡ,1767,6348
8,,嶋太郎,1673,6166
9,,きぃちゃ,666,4736
10,,叢雲のジュウザ,1207,4224
11,,DarkGradation,1801,4062
12,,おばさんULT,1806,3949
13,,Mｉnelva,1918,3881
14,,☆もいちゃん☆,1456,3838
15,,新羅三郎,1796,3342
16,,pikashu,2000,3215
17,,死神のJ,1390,3111
18,,毒おじや,1812,3034
19,,らぶのーと♪,2000,3000
20,,八番手,2000,2987
21,,武神゜,2000,2924
22,,エルスト,1084,2913
23,,†Einzbern,1191,2839
24,,ティダ射手,1877,2800
25,,DancingBravo,1784,2768
26,,shnzi,1501,2590
27,,☆夢露くん☆,1278,2559
28,,Rosenritter2,1281,2516
29,,☆セントレア☆,1904,2463
30,,ﾏｰｺﾞｯﾄ,2000,2445
31,,ﾏｲｹﾙ・ﾏｲﾔﾝｽﾞ,2000,2403
32,,大木陸,1559,2384
33,,gingingin,1904,2357
34,,ゆめごん,1940,2339
35,,ブレイブスカイ,1848,2303
36,,れっどしーふ,1896,2276
37,,ピアッサ,970,2223
38,,†金獅子姫†,1826,2197
39,,neon43,1921,2172
40,,AllRangeClear☆,1939,2162
41,,ペったー,1572,2162
42,,_Jun_,1778,2154
43,,∬purposefire∬,2000,2152
44,,段四郎,1445,2138
45,,パラヌス,1799,2115
46,,チャットとろい,1056,2097
47,,PersephoneP,1795,2069
48,,２２３２,1863,2066
49,,雷神の弓,1734,2000
50,,きゃぴ☆,1913,1988
51,,啓士郎,1866,1985
52,,jun53,920,1972
53,,チャット入力苦手,1040,1969
54,,醤油取って,1897,1965
55,,LOVEマシーン♪,1831,1960
56,,ソルディエンヌ,1812,1955
57,,私は返事出来ん,1098,1951
58,,超越ゆめんごⅤ,1792,1946
59,,クレモル,1889,1921
60,,δsnowδ,1836,1918
61,,腰痛の爺,1809,1897
62,,＋ゆい＋,1787,1877
63,,マーキψ,1627,1856
64,,ナットウキナーゼ,1418,1823
65,,∬Veloce∬,1923,1800
66,,レミニセンス,1831,1791
67,,苺桜三玖,1771,1786
68,,ぽこっさん,1907,1785
69,,Lionel・MessiⅡ,1838,1761
70,,kino2,947,1757
71,,高天原ゆとり,1921,1752
72,,ブルーマンジェロ,1042,1744
73,,愛知のトッシー,1240,1734
74,,６９５,900,1716
75,,スガサワ,1714,1686
76,,北国ウルフ,1569,1683
77,,潜伏期間,1704,1671
78,,dokuringo,1812,1669
79,,つよみん,1994,1662
80,,ShineLight,1940,1661
81,,パリバリ,1724,1654
82,,楼麗莱,951,1654
83,,HIMAMA,1839,1651
84,,浅研,1765,1642
85,,Ψmo☆moΨ,1516,1629
86,,＄reef＄,1828,1617
87,,◇妖精◇,1801,1604
88,,TS020,1333,1594
89,,bitaminn,1874,1590
90,,五十嵐由貴,2000,1577
91,,ダーシュ！,1842,1574
92,,RSQ_RAY,1564,1572
93,,（とち）,1204,1571
94,,バク天,969,1556
95,,megumi♪,1788,1554
96,,ダイワ☆,1125,1551
97,,バイマン先生,1180,1547
98,,ハイシェン姫,1706,1538
99,,tururu,1019,1537
100,,amagon,1954,1534
